"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PADRE ABAD (000)",11359,10755,46,2415,2231,1863,2320,1213,493,174,604,36473
"De 12 a 14 años (001)",48,22,1,20,1,,,,,,26,22
"De 15 a 19 años (002)",767,681,4,567,92,14,4,,,,86,809
"De 20 a 24 años (003)",1698,1516,7,836,490,140,40,3,,,182,2425
"De 25 a 29 años (004)",1761,1637,11,462,555,367,221,18,3,,124,3746
"De 30 a 34 años (005)",1595,1506,4,169,416,422,401,83,7,4,89,4626
"De 35 a 39 años (006)",1597,1568,8,132,294,362,524,204,40,4,29,5797
"De 40 a 44 años (007)",1292,1267,3,79,173,246,443,232,73,18,25,5421
"De 45 a 49 años (008)",853,841,1,39,79,134,255,209,100,24,12,4173
"De 50 y más años (009)",1748,1717,7,111,131,178,432,464,270,124,31,9454
"Sin nivel (010)",1439,1410,6,119,170,184,418,308,152,53,29,6707
"De 15 a 19 años (012)",22,21,,15,5,1,,,,,1,28
"De 20 a 24 años (013)",59,58,1,21,24,7,5,,,,1,110
"De 25 a 29 años (014)",123,118,,21,33,31,29,4,,,5,330
"De 30 a 34 años (015)",138,136,,8,34,25,53,12,2,2,2,501
"De 35 a 39 años (016)",182,181,2,10,9,36,67,46,9,2,1,829
"De 40 a 44 años (017)",168,164,,10,17,23,52,43,14,5,4,791
"De 45 a 49 años (018)",142,139,,4,8,11,47,41,22,6,3,771
"De 50 y más años (019)",605,593,3,30,40,50,165,162,105,38,12,3347
"Educacion Inicial (020)",23,22,,2,5,7,2,6,,,1,78
"De 15 a 19 años (022)",4,3,,2,1,,,,,,1,4
"De 20 a 24 años (023)",1,1,,,,1,,,,,,3
"De 25 a 29 años (024)",7,7,,,2,4,1,,,,,20
