"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia BAGUA (000)",60725,16864,18775,13354,8639,3093
"Sin nivel (001)",5301,688,700,947,1699,1267
"Educación inicial (002)",1101,978,76,47,,
"Primaria (003)",30469,12666,5927,5791,4525,1560
"Secundaria (004)",17126,2532,9146,3853,1426,169
"Superior no univ. incompleta (005)",1976,,1253,544,164,15
"Superior no univ. completa (006)",2492,,892,1171,384,45
"Superior univ. incompleta (007)",775,,436,244,86,9
"Superior univ. completa (008)",1485,,345,757,355,28
"PEA (010)",25055,768,9020,8669,5341,1257
"Sin nivel (011)",1802,70,309,406,670,347
"Educación inicial (012)",78,13,34,31,,
"Primaria (013)",10691,525,3137,3408,2841,780
"Secundaria (014)",7932,160,4027,2642,1024,79
"Superior no univ. incompleta (015)",991,,457,404,124,6
"Superior no univ. completa (016)",1891,,627,928,312,24
"Superior univ. incompleta (017)",454,,179,198,71,6
"Superior univ. completa (018)",1216,,250,652,299,15
"Ocupada (020)",24239,710,8593,8470,5228,1238
"Sin nivel (021)",1755,55,298,398,659,345
"Educación inicial (022)",77,13,33,31,,
"Primaria (023)",10391,486,3019,3341,2779,766
"Secundaria (024)",7609,156,3817,2560,999,77
"Superior no univ. incompleta (025)",956,,435,395,120,6
"Superior no univ. completa (026)",1816,,579,906,308,23
"Superior univ. incompleta (027)",443,,172,196,69,6
"Superior univ. completa (028)",1192,,240,643,294,15
"Desocupada (030)",816,58,427,199,113,19
