"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia RECUAY (000)",7598,7360,2105,920,889,728,1133,751,458,376,238,22859
"De 12 a 14 años (001)",561,559,558,1,,,,,,,2,1
"De 15 a 19 años (002)",860,855,774,70,9,2,,,,,5,94
"De 20 a 24 años (003)",747,687,331,226,104,25,1,,,,60,513
"De 25 a 29 años (004)",740,665,162,222,169,72,37,3,,,75,954
"De 30 a 34 años (005)",578,551,68,118,146,112,92,12,3,,27,1250
"De 35 a 39 años (006)",609,589,42,80,138,127,147,40,12,3,20,1754
"De 40 a 44 años (007)",560,553,31,43,95,96,180,74,27,7,7,2088
"De 45 a 49 años (008)",484,473,23,31,51,73,143,103,28,21,11,2140
"De 50 y más años (009)",2459,2428,116,129,177,221,533,519,388,345,31,14065
"Conviviente (010)",1887,1869,117,394,402,297,365,169,78,47,18,5956
"De 12 a 14 años (011)",5,3,2,1,,,,,,,2,1
"De 15 a 19 años (012)",87,84,30,48,5,1,,,,,3,61
"De 20 a 24 años (013)",268,263,38,132,71,21,1,,,,5,341
"De 25 a 29 años (014)",346,341,16,119,123,51,31,1,,,5,658
"De 30 a 34 años (015)",250,249,6,33,69,70,62,8,1,,1,715
"De 35 a 39 años (016)",264,262,5,21,60,67,77,24,6,2,2,897
"De 40 a 44 años (017)",215,215,2,12,28,44,77,39,10,3,,905
"De 45 a 49 años (018)",128,128,6,9,16,17,43,23,12,2,,555
"De 50 y más años (019)",324,324,12,19,30,26,74,74,49,40,,1823
"Separado(a) (020)",439,430,9,143,87,60,69,34,14,14,9,1293
"De 15 a 19 años (022)",10,10,1,8,1,,,,,,,10
"De 20 a 24 años (023)",48,47,,33,12,2,,,,,1,63
"De 25 a 29 años (024)",55,54,1,34,12,5,2,,,,1,81
"De 30 a 34 años (025)",54,54,5,22,17,7,3,,,,,90
