"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CARABAYA (000)",16746,47,179,561,1400,3212,7537,3810
"De 12 a 14 años (001)",31,,,,,,3,28
"De 15 a 19 años (002)",508,,,,,,368,140
"De 20 a 24 años (003)",2059,,,,,,1375,684
"De 25 a 29 años (004)",2594,,,,,84,1831,679
"De 30 a 34 años (005)",2243,,,,1,323,1520,399
"De 35 a 39 años (006)",2133,,,,21,599,1210,303
"De 40 a 44 años (007)",1694,,,1,71,606,795,221
"De 45 a 49 años (008)",1292,,,1,136,605,364,186
"De 50 y más años (009)",4192,47,179,559,1171,995,71,1170
"Sin nivel (010)",4805,42,156,463,909,1015,1033,1187
"De 12 a 14 años (011)",3,,,,,,,3
"De 15 a 19 años (012)",19,,,,,,15,4
"De 20 a 24 años (013)",98,,,,,,73,25
"De 25 a 29 años (014)",195,,,,,5,152,38
"De 30 a 34 años (015)",229,,,,,19,169,41
"De 35 a 39 años (016)",348,,,,1,60,233,54
"De 40 a 44 años (017)",442,,,,19,117,239,67
"De 45 a 49 años (018)",422,,,1,44,198,124,55
"De 50 y más años (019)",3049,42,156,462,845,616,28,900
"Educacion Inicial (020)",25,,,,,2,19,4
"De 15 a 19 años (022)",1,,,,,,,1
"De 20 a 24 años (023)",3,,,,,,3,
"De 25 a 29 años (024)",6,,,,,,4,2
"De 30 a 34 años (025)",10,,,,,1,8,1
"De 35 a 39 años (026)",5,,,,,1,4,
"Primaria (030)",8084,5,22,86,414,1721,4366,1470
"De 12 a 14 años (031)",18,,,,,,1,17
"De 15 a 19 años (032)",247,,,,,,193,54
"De 20 a 24 años (033)",900,,,,,,629,271
"De 25 a 29 años (034)",1406,,,,,44,1052,310
"De 30 a 34 años (035)",1403,,,,1,205,992,205
"De 35 a 39 años (036)",1345,,,,11,404,773,157
"De 40 a 44 años (037)",1030,,,,40,394,477,119
"De 45 a 49 años (038)",709,,,,73,330,208,98
"De 50 y más años (039)",1026,5,22,86,289,344,41,239
"Secundaria (040)",3138,,,9,59,368,1815,887
"De 12 a 14 años (041)",10,,,,,,2,8
"De 15 a 19 años (042)",238,,,,,,157,81
"De 20 a 24 años (043)",940,,,,,,617,323
"De 25 a 29 años (044)",819,,,,,33,545,241
"De 30 a 34 años (045)",438,,,,,75,265,98
"De 35 a 39 años (046)",310,,,,7,98,140,65
"De 40 a 44 años (047)",157,,,,6,70,58,23
"De 45 a 49 años (048)",130,,,,14,62,29,25
"De 50 y más años (049)",96,,,9,32,30,2,23
"Sup. no Univ. incompleta (050)",173,,,1,4,20,96,52
"De 15 a 19 años (052)",2,,,,,,2,
