"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PARINACOCHAS (000)",29306,17079,12227
"Casa independiente (001)",27090,16495,10595
"Vivienda en quinta (003)",127,127,
"Vivienda en casa de vecindad (004)",117,117,
"Choza o cabaña (005)",1606,,1606
"Vivienda improvisada (006)",319,319,
"Local no dest.para hab. humana (007)",29,21,8
"Otro tipo (008)",18,,18
