"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHUCUITO (000)",119280,5245,13332,14691,13367,22196,16259,24658,9532
"Sabe leer y escribir (001)",102030,,10609,14630,13284,21979,15882,20918,4728
"No sabe leer y escribir (002)",17250,5245,2723,61,83,217,377,3740,4804
"Hombres (004)",60849,2671,6820,7567,6883,11259,8262,12609,4778
"Sabe leer y escribir (005)",54495,,5421,7535,6843,11167,8158,11890,3481
"No sabe leer y escribir (006)",6354,2671,1399,32,40,92,104,719,1297
"Mujeres (008)",58431,2574,6512,7124,6484,10937,7997,12049,4754
"Sabe leer y escribir (009)",47535,,5188,7095,6441,10812,7724,9028,1247
"No sabe leer y escribir (010)",10896,2574,1324,29,43,125,273,3021,3507
,,,,,,,,,
"URBANA (012)",33806,1457,3553,4035,4193,7329,5205,6470,1564
"Sabe leer y escribir (013)",30182,,2877,4017,4168,7267,5107,5769,977
"No sabe leer y escribir (014)",3624,1457,676,18,25,62,98,701,587
"Hombres (016)",17611,742,1804,2091,2171,3778,2759,3453,813
"Sabe leer y escribir (017)",16065,,1459,2080,2158,3740,2724,3258,646
"No sabe leer y escribir (018)",1546,742,345,11,13,38,35,195,167
"Mujeres (020)",16195,715,1749,1944,2022,3551,2446,3017,751
"Sabe leer y escribir (021)",14117,,1418,1937,2010,3527,2383,2511,331
"No sabe leer y escribir (022)",2078,715,331,7,12,24,63,506,420
,,,,,,,,,
"RURAL (024)",85474,3788,9779,10656,9174,14867,11054,18188,7968
"Sabe leer y escribir (025)",71848,,7732,10613,9116,14712,10775,15149,3751
"No sabe leer y escribir (026)",13626,3788,2047,43,58,155,279,3039,4217
"Hombres (028)",43238,1929,5016,5476,4712,7481,5503,9156,3965
"Sabe leer y escribir (029)",38430,,3962,5455,4685,7427,5434,8632,2835
"No sabe leer y escribir (030)",4808,1929,1054,21,27,54,69,524,1130
"Mujeres (032)",42236,1859,4763,5180,4462,7386,5551,9032,4003
"Sabe leer y escribir (033)",33418,,3770,5158,4431,7285,5341,6517,916
"No sabe leer y escribir (034)",8818,1859,993,22,31,101,210,2515,3087
