"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia CONTUMAZA (000)",31369,30953,291,125
"Hombres (001)",15985,15821,108,56
"Mujeres (002)",15384,15132,183,69
"Menores de 1 año (003)",639,541,72,26
"Hombres (004)",322,276,35,11
"Mujeres (005)",317,265,37,15
"De 1 a 5 años (006)",3164,3012,64,88
"Hombres (007)",1602,1530,30,42
"Mujeres (008)",1562,1482,34,46
"De 6 a 14 años (009)",5984,5966,15,3
"Hombres (010)",3087,3077,8,2
"Mujeres (011)",2897,2889,7,1
"De 15 a 29 años (012)",7327,7318,9,
"Hombres (013)",3782,3780,2,
"Mujeres (014)",3545,3538,7,
"De 30 a 44 años (015)",5983,5968,15,
"Hombres (016)",2976,2973,3,
"Mujeres (017)",3007,2995,12,
"De 45 a 64 años (018)",5189,5153,32,4
"Hombres (019)",2635,2624,11,
"Mujeres (020)",2554,2529,21,4
"De 65 a más años (021)",3083,2995,84,4
"Hombres (022)",1581,1561,19,1
"Mujeres (023)",1502,1434,65,3
,,,,
"URBANA (024)",13297,13182,69,46
"Hombres (025)",6618,6570,26,22
"Mujeres (026)",6679,6612,43,24
"Menores de 1 año (027)",238,209,24,5
"Hombres (028)",120,106,11,3
"Mujeres (029)",118,103,13,2
"De 1 a 5 años (030)",1137,1078,20,39
"Hombres (031)",583,554,10,19
"Mujeres (032)",554,524,10,20
"De 6 a 14 años (033)",2323,2323,,
"Hombres (034)",1208,1208,,
"Mujeres (035)",1115,1115,,
"De 15 a 29 años (036)",3129,3129,,
"Hombres (037)",1588,1588,,
"Mujeres (038)",1541,1541,,
"De 30 a 44 años (039)",2737,2733,4,
"Hombres (040)",1283,1282,1,
"Mujeres (041)",1454,1451,3,
"De 45 a 64 años (042)",2431,2424,6,1
"Hombres (043)",1184,1183,1,
"Mujeres (044)",1247,1241,5,1
"De 65 a más años (045)",1302,1286,15,1
"Hombres (046)",652,649,3,
"Mujeres (047)",650,637,12,1
,,,,
"RURAL (048)",18072,17771,222,79
"Hombres (049)",9367,9251,82,34
"Mujeres (050)",8705,8520,140,45
"Menores de 1 año (051)",401,332,48,21
"Hombres (052)",202,170,24,8
"Mujeres (053)",199,162,24,13
"De 1 a 5 años (054)",2027,1934,44,49
"Hombres (055)",1019,976,20,23
"Mujeres (056)",1008,958,24,26
"De 6 a 14 años (057)",3661,3643,15,3
"Hombres (058)",1879,1869,8,2
"Mujeres (059)",1782,1774,7,1
"De 15 a 29 años (060)",4198,4189,9,
"Hombres (061)",2194,2192,2,
"Mujeres (062)",2004,1997,7,
"De 30 a 44 años (063)",3246,3235,11,
"Hombres (064)",1693,1691,2,
"Mujeres (065)",1553,1544,9,
"De 45 a 64 años (066)",2758,2729,26,3
"Hombres (067)",1451,1441,10,
"Mujeres (068)",1307,1288,16,3
"De 65 a más años (069)",1781,1709,69,3
"Hombres (070)",929,912,16,1
"Mujeres (071)",852,797,53,2
