"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia BAGUA (000)",66276,3837,9298,9280,7184,11591,9464,12529,3093
"Sabe leer y escribir (001)",53541,,5847,8930,6946,10982,8769,10264,1803
"No sabe leer y escribir (002)",12735,3837,3451,350,238,609,695,2265,1290
"Hombres (004)",33882,1936,4763,4741,3651,5685,4744,6641,1721
"Sabe leer y escribir (005)",28644,,2995,4576,3568,5509,4582,6111,1303
"No sabe leer y escribir (006)",5238,1936,1768,165,83,176,162,530,418
"Mujeres (008)",32394,1901,4535,4539,3533,5906,4720,5888,1372
"Sabe leer y escribir (009)",24897,,2852,4354,3378,5473,4187,4153,500
"No sabe leer y escribir (010)",7497,1901,1683,185,155,433,533,1735,872
,,,,,,,,,
"URBANA (012)",31513,1374,3550,4085,3513,5490,4885,6912,1704
"Sabe leer y escribir (013)",27806,,2720,4036,3478,5405,4723,6238,1206
"No sabe leer y escribir (014)",3707,1374,830,49,35,85,162,674,498
"Hombres (016)",15692,682,1838,2111,1730,2528,2291,3570,942
"Sabe leer y escribir (017)",14220,,1407,2081,1716,2498,2253,3441,824
"No sabe leer y escribir (018)",1472,682,431,30,14,30,38,129,118
"Mujeres (020)",15821,692,1712,1974,1783,2962,2594,3342,762
"Sabe leer y escribir (021)",13586,,1313,1955,1762,2907,2470,2797,382
"No sabe leer y escribir (022)",2235,692,399,19,21,55,124,545,380
,,,,,,,,,
"RURAL (024)",34763,2463,5748,5195,3671,6101,4579,5617,1389
"Sabe leer y escribir (025)",25735,,3127,4894,3468,5577,4046,4026,597
"No sabe leer y escribir (026)",9028,2463,2621,301,203,524,533,1591,792
"Hombres (028)",18190,1254,2925,2630,1921,3157,2453,3071,779
"Sabe leer y escribir (029)",14424,,1588,2495,1852,3011,2329,2670,479
"No sabe leer y escribir (030)",3766,1254,1337,135,69,146,124,401,300
"Mujeres (032)",16573,1209,2823,2565,1750,2944,2126,2546,610
"Sabe leer y escribir (033)",11311,,1539,2399,1616,2566,1717,1356,118
"No sabe leer y escribir (034)",5262,1209,1284,166,134,378,409,1190,492
