"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CHOTA (000)",45396,5483,8393,23157,585,7116,662
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",76,75,,,1,,
"Profes., científicos e intelectuales (002)",3221,2951,,256,11,3,
"Técnicos de nivel medio y trab. asimilados (003)",754,552,,158,19,23,2
"Jefes y empleados de oficina (004)",680,671,,6,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2385,386,21,1634,67,277,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",18519,1,,18101,417,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1798,,381,1258,24,135,
"Obreros construc.,conf.,papel, fab., instr. (008)",1501,210,468,767,28,28,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",15183,305,7366,441,5,6406,660
"Otra (010)",138,138,,,,,
"Ocupación no especificada (011)",1141,194,157,536,13,241,
"Hombres (012)",35719,3333,7658,19338,511,4843,36
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",58,57,,,1,,
"Profes., científicos e intelectuales (014)",1925,1775,,143,7,,
"Técnicos de nivel medio y trab. asimilados (015)",481,325,,124,13,18,1
"Jefes y empleados de oficina (016)",394,389,,3,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1101,217,9,765,45,65,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",17102,1,,16711,390,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1005,,324,607,20,54,
"Obreros construc.,conf.,papel, fab., instr. (020)",1401,210,463,687,28,13,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",11767,158,6767,160,2,4645,35
"Otra (022)",136,136,,,,,
"Ocupación no especificada (023)",349,65,95,138,5,46,
"Mujeres (024)",9677,2150,735,3819,74,2273,626
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",18,18,,,,,
"Profes., científicos e intelectuales (026)",1296,1176,,113,4,3,
"Técnicos de nivel medio y trab. asimilados (027)",273,227,,34,6,5,1
"Jefes y empleados de oficina (028)",286,282,,3,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1284,169,12,869,22,212,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1417,,,1390,27,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",793,,57,651,4,81,
"Obreros construc.,conf.,papel, fab., instr. (032)",100,,5,80,,15,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",3416,147,599,281,3,1761,625
"Otra (034)",2,2,,,,,
"Ocupación no especificada (035)",792,129,62,398,8,195,
,,,,,,,
"URBANA (036)",11575,4170,1264,4772,196,800,373
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",59,58,,,1,,
"Profes., científicos e intelectuales (038)",2498,2316,,168,11,3,
"Técnicos de nivel medio y trab. asimilados (039)",569,405,,131,15,16,2
"Jefes y empleados de oficina (040)",530,523,,5,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",1732,265,11,1178,55,223,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",1843,,,1784,59,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",753,,155,558,17,23,
"Obreros construc.,conf.,papel, fab., instr. (044)",864,134,240,458,21,11,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",2156,213,808,307,5,452,371
"Otra (046)",130,130,,,,,
"Ocupación no especificada (047)",441,126,50,183,12,70,
"Hombres (048)",7479,2409,1113,3380,143,413,21
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",44,43,,,1,,
"Profes., científicos e intelectuales (050)",1427,1323,,97,7,,
"Técnicos de nivel medio y trab. asimilados (051)",338,214,,101,10,12,1
"Jefes y empleados de oficina (052)",280,276,,3,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",800,143,4,564,36,53,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",1647,,,1599,48,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",572,,125,416,14,17,
"Obreros construc.,conf.,papel, fab., instr. (056)",845,134,239,441,21,10,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",1235,99,713,97,2,304,20
"Otra (058)",128,128,,,,,
"Ocupación no especificada (059)",163,49,32,62,4,16,
"Mujeres (060)",4096,1761,151,1392,53,387,352
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",15,15,,,,,
"Profes., científicos e intelectuales (062)",1071,993,,71,4,3,
"Técnicos de nivel medio y trab. asimilados (063)",231,191,,30,5,4,1
"Jefes y empleados de oficina (064)",250,247,,2,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",932,122,7,614,19,170,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",196,,,185,11,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",181,,30,142,3,6,
"Obreros construc.,conf.,papel, fab., instr. (068)",19,,1,17,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",921,114,95,210,3,148,351
"Otra (070)",2,2,,,,,
"Ocupación no especificada (071)",278,77,18,121,8,54,
,,,,,,,
"RURAL (072)",33821,1313,7129,18385,389,6316,289
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",17,17,,,,,
"Profes., científicos e intelectuales (074)",723,635,,88,,,
"Técnicos de nivel medio y trab. asimilados (075)",185,147,,27,4,7,
"Jefes y empleados de oficina (076)",150,148,,1,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",653,121,10,456,12,54,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",16676,1,,16317,358,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",1045,,226,700,7,112,
"Obreros construc.,conf.,papel, fab., instr. (080)",637,76,228,309,7,17,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",13027,92,6558,134,,5954,289
"Otra (082)",8,8,,,,,
"Ocupación no especificada (083)",700,68,107,353,1,171,
"Hombres (084)",28240,924,6545,15958,368,4430,15
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",14,14,,,,,
"Profes., científicos e intelectuales (086)",498,452,,46,,,
"Técnicos de nivel medio y trab. asimilados (087)",143,111,,23,3,6,
"Jefes y empleados de oficina (088)",114,113,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",301,74,5,201,9,12,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",15455,1,,15112,342,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",433,,199,191,6,37,
"Obreros construc.,conf.,papel, fab., instr. (092)",556,76,224,246,7,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",10532,59,6054,63,,4341,15
"Otra (094)",8,8,,,,,
"Ocupación no especificada (095)",186,16,63,76,1,30,
"Mujeres (096)",5581,389,584,2427,21,1886,274
