"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia BAGUA (000)",16885,71362,8480,33172,8405,38190
"Casa independiente (001)",13480,56368,7713,30975,5767,25393
"Departamento en edificio (002)",68,189,68,189,,
"Vivienda en quinta (003)",439,1253,439,1253,,
"Vivienda en casa de vecindad (004)",225,637,225,637,,
"Choza o cabaña (005)",2631,12771,,,2631,12771
"Vivienda improvisada (006)",9,40,9,40,,
"Local no dest.para hab. humana (007)",23,71,21,69,2,2
"Otro tipo (008)",10,33,5,9,5,24
