"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MELGAR (000)",24305,20154,1153,748,2250
"Agric., ganadería, caza y silvicultura (001)",13829,13411,316,80,22
"Pesca (002)",10,10,,,
"Explotación de minas y canteras (003)",550,80,72,64,334
"Industrias manufactureras (004)",887,774,69,36,8
"Suministro de electricidad, gas y agua (005)",30,3,,22,5
"Construcción (006)",1092,749,150,122,71
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2531,2430,86,4,11
"Venta, mant.y rep. veh.autom y motoc. (008)",185,163,10,2,10
"Comercio al por mayor (009)",105,98,6,,1
"Comercio al por menor (010)",2241,2169,70,2,
"Hoteles y restaurantes (011)",539,483,43,8,5
"Trans., almac. y comunicaciones (012)",955,847,46,38,24
"Intermediación financiera (013)",16,6,1,1,8
"Activid.inmobil., empres. y alquileres (014)",319,181,33,66,39
"Admin.pub. y defensa; p. segur soc.afil (015)",750,,,,750
"Enseñanza (016)",1274,164,211,242,657
"Servicios sociales y de salud (017)",362,63,12,12,275
"Otras activ. serv.comun.soc y personales (018)",297,223,47,14,13
"Hogares privados con servicio doméstico (019)",212,212,,,
"Actividad economica no especificada (021)",652,518,67,39,28
"Hombres (022)",14281,11286,823,586,1586
"Agric., ganadería, caza y silvicultura (023)",7828,7555,187,65,21
"Pesca (024)",8,8,,,
"Explotación de minas y canteras (025)",530,74,67,62,327
"Industrias manufactureras (026)",609,529,47,26,7
"Suministro de electricidad, gas y agua (027)",26,2,,20,4
"Construcción (028)",1060,740,145,108,67
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",911,847,50,3,11
"Venta, mant.y rep. veh.autom y motoc. (030)",162,140,10,2,10
"Comercio al por mayor (031)",49,43,5,,1
"Comercio al por menor (032)",700,664,35,1,
"Hoteles y restaurantes (033)",116,85,26,2,3
"Trans., almac. y comunicaciones (034)",892,793,42,33,24
"Intermediación financiera (035)",11,3,,1,7
"Activid.inmobil., empres. y alquileres (036)",250,131,30,57,32
"Admin.pub. y defensa; p. segur soc.afil (037)",525,,,,525
"Enseñanza (038)",807,105,142,165,395
"Servicios sociales y de salud (039)",183,40,4,6,133
"Otras activ. serv.comun.soc y personales (040)",150,97,33,10,10
"Hogares privados con servicio doméstico (041)",41,41,,,
"Actividad economica no especificada (043)",334,236,50,28,20
