"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CAJABAMBA (000)",26675,77371,70832,,1602,91.5,2.1
"De 12 a 14 años (001)",2821,9,9,,1,100,11.1
"De 15 a 19 años (002)",3561,644,638,207,99.1,32.1,
"De 20 a 24 años (003)",2977,2991,2933,414,98.1,13.8,
"De 25 a 29 años (004)",2602,4790,4689,354,97.9,7.4,
"De 30 a 34 años (005)",2294,6469,6240,290,96.5,4.5,
"De 35 a 39 años (006)",2299,8311,8011,229,96.4,2.8,
"De 40 a 44 años (007)",1971,8522,8043,89,94.4,1,
"De 45 a 49 años (008)",1666,8289,7748,18,93.5,0.2,
"De 50 y más años (009)",6484,37346,32521,,87.1,,
"PEA (010)",4393,10236,9612,194,93.9,1.9,
"De 12 a 14 años (011)",145,,,,,,
"De 15 a 19 años (012)",476,60,59,19,98.3,31.7,
"De 20 a 24 años (013)",581,362,354,48,97.8,13.3,
"De 25 a 29 años (014)",519,669,658,44,98.4,6.6,
"De 30 a 34 años (015)",511,997,964,36,96.7,3.6,
"De 35 a 39 años (016)",538,1410,1378,37,97.7,2.6,
"De 40 a 44 años (017)",453,1457,1384,7,95,0.5,
"De 45 a 49 años (018)",378,1381,1301,3,94.2,0.2,
"De 50 y más años (019)",792,3900,3514,,90.1,,
"Ocupada (020)",4153,10079,9461,190,93.9,1.9,
"De 12 a 14 años (021)",108,,,,,,
"De 15 a 19 años (022)",395,58,57,18,98.3,31,
"De 20 a 24 años (023)",528,345,338,46,98,13.3,
"De 25 a 29 años (024)",495,656,646,43,98.5,6.6,
"De 30 a 34 años (025)",497,973,942,36,96.8,3.7,
"De 35 a 39 años (026)",528,1401,1369,37,97.7,2.6,
"De 40 a 44 años (027)",444,1430,1359,7,95,0.5,
"De 45 a 49 años (028)",372,1360,1280,3,94.1,0.2,
"De 50 y más años (029)",786,3856,3470,,90,,
"Desocupada (030)",240,157,151,4,96.2,2.5,
"De 12 a 14 años (031)",37,,,,,,
"De 15 a 19 años (032)",81,2,2,1,100,50,
"De 20 a 24 años (033)",53,17,16,2,94.1,11.8,
"De 25 a 29 años (034)",24,13,12,1,92.3,7.7,
"De 30 a 34 años (035)",14,24,22,,91.7,,
"De 35 a 39 años (036)",10,9,9,,100,,
"De 40 a 44 años (037)",9,27,25,,92.6,,
