"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CONDESUYOS (000)",17146,315,5075,4016,3392,2792,1556
"Casa independiente (001)",13482,234,3918,3020,2653,2283,1374
"Vivienda en quinta (003)",38,1,12,9,10,3,3
"Vivienda en casa de vecindad (004)",127,4,38,44,27,8,6
"Choza o cabaña (005)",3440,73,1097,926,689,482,173
"Vivienda improvisada (006)",30,1,6,12,4,7,
"Local no destinado para hab.humana (007)",26,2,4,3,9,8,
"Otro tipo (008)",3,,,2,,1,
,,,,,,,
"URBANA (009)",7555,122,2217,1819,1564,1259,574
"Casa independiente (010)",7350,116,2160,1753,1520,1236,565
"Vivienda en quinta (012)",38,1,12,9,10,3,3
"Vivienda en casa de vecindad (013)",127,4,38,44,27,8,6
"Vivienda improvisada (015)",30,1,6,12,4,7,
"Local no destinado para hab.humana (016)",10,,1,1,3,5,
,,,,,,,
"RURAL (018)",9591,193,2858,2197,1828,1533,982
"Casa independiente (019)",6132,118,1758,1267,1133,1047,809
"Choza o cabaña (023)",3440,73,1097,926,689,482,173
"Local no destinado para hab.humana (025)",16,2,3,2,6,3,
"Otro tipo (026)",3,,,2,,1,
