"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LAURICOCHA (000)",9358,6773,566,299,1720
"Agric., ganadería, caza y silvicultura (001)",5860,5430,373,31,26
"Pesca (002)",5,5,,,
"Explotación de minas y canteras (003)",1272,19,15,74,1164
"Industrias manufactureras (004)",102,92,5,4,1
"Suministro de electricidad, gas y agua (005)",8,1,2,2,3
"Construcción (006)",156,104,27,14,11
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",492,468,18,4,2
"Venta, mant.y rep. veh.autom y motoc. (008)",14,12,1,,1
"Comercio al por mayor (009)",27,25,1,,1
"Comercio al por menor (010)",451,431,16,4,
"Hoteles y restaurantes (011)",138,118,16,2,2
"Trans., almac. y comunicaciones (012)",102,88,7,4,3
"Intermediación financiera (013)",1,,,,1
"Activid.inmobil., empres. y alquileres (014)",37,21,4,7,5
"Admin.pub. y defensa; p. segur soc.afil (015)",132,,,,132
"Enseñanza (016)",579,68,79,137,295
"Servicios sociales y de salud (017)",77,9,7,1,60
"Otras activ. serv.comun.soc y personales (018)",44,37,1,3,3
"Hogares privados con servicio doméstico (019)",124,124,,,
"Actividad economica no especificada (021)",229,189,12,16,12
"Hombres (022)",7062,4851,447,234,1530
"Agric., ganadería, caza y silvicultura (023)",4515,4146,317,29,23
"Pesca (024)",5,5,,,
"Explotación de minas y canteras (025)",1230,17,12,73,1128
"Industrias manufactureras (026)",82,76,3,3,
"Suministro de electricidad, gas y agua (027)",6,1,1,1,3
"Construcción (028)",153,103,26,13,11
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",268,249,13,4,2
"Venta, mant.y rep. veh.autom y motoc. (030)",11,9,1,,1
"Comercio al por mayor (031)",12,11,,,1
"Comercio al por menor (032)",245,229,12,4,
"Hoteles y restaurantes (033)",32,26,4,1,1
"Trans., almac. y comunicaciones (034)",99,85,7,4,3
"Intermediación financiera (035)",1,,,,1
"Activid.inmobil., empres. y alquileres (036)",32,19,3,6,4
"Admin.pub. y defensa; p. segur soc.afil (037)",107,,,,107
"Enseñanza (038)",374,34,51,88,201
"Servicios sociales y de salud (039)",41,6,2,1,32
"Otras activ. serv.comun.soc y personales (040)",20,15,1,2,2
"Hogares privados con servicio doméstico (041)",15,15,,,
"Actividad economica no especificada (043)",82,54,7,9,12
