"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SIHUAS (000)",11033,33625,29754,,544,88.5,1.6
"De 12 a 14 años (001)",1411,5,5,,,100,
"De 15 a 19 años (002)",1490,207,199,48,96.1,23.2,
"De 20 a 24 años (003)",1136,1134,1104,145,97.4,12.8,
"De 25 a 29 años (004)",808,1503,1462,87,97.3,5.8,
"De 30 a 34 años (005)",924,2707,2579,108,95.3,4,
"De 35 a 39 años (006)",909,3588,3374,96,94,2.7,
"De 40 a 44 años (007)",864,4215,3917,50,92.9,1.2,
"De 45 a 49 años (008)",722,4029,3631,10,90.1,0.2,
"De 50 y más años (009)",2769,16237,13483,,83,,
"PEA (010)",2675,8518,7886,144,92.6,1.7,
"De 12 a 14 años (011)",29,,,,,,
"De 15 a 19 años (012)",182,35,34,8,97.1,22.9,
"De 20 a 24 años (013)",360,306,304,46,99.3,15,
"De 25 a 29 años (014)",276,389,379,18,97.4,4.6,
"De 30 a 34 años (015)",325,765,745,27,97.4,3.5,
"De 35 a 39 años (016)",305,1039,996,31,95.9,3,
"De 40 a 44 años (017)",339,1462,1390,13,95.1,0.9,
"De 45 a 49 años (018)",236,1201,1119,1,93.2,0.1,
"De 50 y más años (019)",623,3321,2919,,87.9,,
"Ocupada (020)",2590,8385,7768,142,92.6,1.7,
"De 12 a 14 años (021)",25,,,,,,
"De 15 a 19 años (022)",166,34,33,8,97.1,23.5,
"De 20 a 24 años (023)",341,298,297,46,99.7,15.4,
"De 25 a 29 años (024)",265,379,369,17,97.4,4.5,
"De 30 a 34 años (025)",320,761,741,27,97.4,3.5,
"De 35 a 39 años (026)",295,1012,970,30,95.8,3,
"De 40 a 44 años (027)",332,1422,1356,13,95.4,0.9,
"De 45 a 49 años (028)",232,1190,1109,1,93.2,0.1,
"De 50 y más años (029)",614,3289,2893,,88,,
"Desocupada (030)",85,133,118,2,88.7,1.5,
"De 12 a 14 años (031)",4,,,,,,
"De 15 a 19 años (032)",16,1,1,,100,,
"De 20 a 24 años (033)",19,8,7,,87.5,,
"De 25 a 29 años (034)",11,10,10,1,100,10,
"De 30 a 34 años (035)",5,4,4,,100,,
"De 35 a 39 años (036)",10,27,26,1,96.3,3.7,
"De 40 a 44 años (037)",7,40,34,,85,,
