"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia LUCANAS (000)",23580,3480,4506,12012,194,3112,276
"Sin nivel (001)",2348,30,367,1353,24,556,18
"Educación inicial (002)",23,,4,7,1,11,
"Primaria (003)",7197,89,1387,4364,65,1228,64
"Secundaria (004)",8570,503,2186,4576,54,1088,163
"Superior no univ. incompleta (005)",997,225,197,476,11,74,14
"Superior no univ. completa (006)",2500,1449,211,710,18,98,14
"Superior univ. incompleta (007)",477,148,90,201,10,28,
"Superior univ. completa (008)",1468,1036,64,325,11,29,3
"Hombres (010)",16090,1959,3794,8697,144,1464,32
"Sin nivel (011)",966,9,180,642,14,121,
"Educación inicial (012)",13,,2,4,1,6,
"Primaria (013)",5162,49,1125,3365,54,555,14
"Secundaria (014)",6532,345,1961,3519,38,653,16
"Superior no univ. incompleta (015)",708,143,179,335,7,43,1
"Superior no univ. completa (016)",1413,711,197,441,10,54,
"Superior univ. incompleta (017)",366,93,88,158,9,18,
"Superior univ. completa (018)",930,609,62,233,11,14,1
"Mujeres (020)",7490,1521,712,3315,50,1648,244
"Sin nivel (021)",1382,21,187,711,10,435,18
"Educación inicial (022)",10,,2,3,,5,
"Primaria (023)",2035,40,262,999,11,673,50
"Secundaria (024)",2038,158,225,1057,16,435,147
"Superior no univ. incompleta (025)",289,82,18,141,4,31,13
"Superior no univ. completa (026)",1087,738,14,269,8,44,14
"Superior univ. incompleta (027)",111,55,2,43,1,10,
"Superior univ. completa (028)",538,427,2,92,,15,2
,,,,,,,
"URBANA (030)",13922,2947,2076,6871,124,1681,223
"Sin nivel (031)",1185,20,172,705,14,259,15
"Educación inicial (032)",17,,3,6,1,7,
"Primaria (033)",3491,71,594,2137,39,607,43
"Secundaria (034)",4955,409,993,2738,37,640,138
"Superior no univ. incompleta (035)",724,178,113,360,4,57,12
"Superior no univ. completa (036)",2020,1248,131,538,15,75,13
"Superior univ. incompleta (037)",329,133,34,138,6,18,
"Superior univ. completa (038)",1201,888,36,249,8,18,2
"Hombres (040)",8738,1682,1681,4592,91,676,16
"Sin nivel (041)",408,6,80,281,10,31,
"Educación inicial (042)",8,,1,3,1,3,
"Primaria (043)",2262,39,460,1511,30,217,5
"Secundaria (044)",3479,288,851,1966,25,338,11
"Superior no univ. incompleta (045)",493,118,100,243,3,29,
"Superior no univ. completa (046)",1097,615,121,313,9,39,
"Superior univ. incompleta (047)",238,84,34,104,5,11,
"Superior univ. completa (048)",753,532,34,171,8,8,
"Mujeres (050)",5184,1265,395,2279,33,1005,207
"Sin nivel (051)",777,14,92,424,4,228,15
"Educación inicial (052)",9,,2,3,,4,
"Primaria (053)",1229,32,134,626,9,390,38
"Secundaria (054)",1476,121,142,772,12,302,127
"Superior no univ. incompleta (055)",231,60,13,117,1,28,12
"Superior no univ. completa (056)",923,633,10,225,6,36,13
"Superior univ. incompleta (057)",91,49,,34,1,7,
"Superior univ. completa (058)",448,356,2,78,,10,2
,,,,,,,
"RURAL (060)",9658,533,2430,5141,70,1431,53
"Sin nivel (061)",1163,10,195,648,10,297,3
"Educación inicial (062)",6,,1,1,,4,
"Primaria (063)",3706,18,793,2227,26,621,21
"Secundaria (064)",3615,94,1193,1838,17,448,25
"Superior no univ. incompleta (065)",273,47,84,116,7,17,2
"Superior no univ. completa (066)",480,201,80,172,3,23,1
"Superior univ. incompleta (067)",148,15,56,63,4,10,
"Superior univ. completa (068)",267,148,28,76,3,11,1
"Hombres (070)",7352,277,2113,4105,53,788,16
"Sin nivel (071)",558,3,100,361,4,90,
"Educación inicial (072)",5,,1,1,,3,
"Primaria (073)",2900,10,665,1854,24,338,9
"Secundaria (074)",3053,57,1110,1553,13,315,5
"Superior no univ. incompleta (075)",215,25,79,92,4,14,1
"Superior no univ. completa (076)",316,96,76,128,1,15,
"Superior univ. incompleta (077)",128,9,54,54,4,7,
"Superior univ. completa (078)",177,77,28,62,3,6,1
"Mujeres (080)",2306,256,317,1036,17,643,37
"Sin nivel (081)",605,7,95,287,6,207,3
"Educación inicial (082)",1,,,,,1,
"Primaria (083)",806,8,128,373,2,283,12
"Secundaria (084)",562,37,83,285,4,133,20
"Superior no univ. incompleta (085)",58,22,5,24,3,3,1
"Superior no univ. completa (086)",164,105,4,44,2,8,1
"Superior univ. incompleta (087)",20,6,2,9,,3,
"Superior univ. completa (088)",90,71,,14,,5,
