"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANUCO (000)",90485,70791,6773,5788,7133
"Agric., ganadería, caza y silvicultura (001)",31363,29843,1251,239,30
"Pesca (002)",10,9,,,1
"Explotación de minas y canteras (003)",364,83,32,75,174
"Industrias manufactureras (004)",4651,3892,498,191,70
"Suministro de electricidad, gas y agua (005)",137,35,7,52,43
"Construcción (006)",4836,3543,723,430,140
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",16195,14821,934,400,40
"Venta, mant.y rep. veh.autom y motoc. (008)",1714,1422,219,56,17
"Comercio al por mayor (009)",842,631,96,92,23
"Comercio al por menor (010)",13639,12768,619,252,
"Hoteles y restaurantes (011)",3812,3280,368,153,11
"Trans., almac. y comunicaciones (012)",6795,5946,359,322,168
"Intermediación financiera (013)",393,59,52,208,74
"Activid.inmobil., empres. y alquileres (014)",3018,1936,385,419,278
"Admin.pub. y defensa; p. segur soc.afil (015)",2896,,,,2896
"Enseñanza (016)",6956,1213,1481,2749,1513
"Servicios sociales y de salud (017)",2113,442,109,108,1454
"Otras activ. serv.comun.soc y personales (018)",2266,1573,387,237,69
"Hogares privados con servicio doméstico (019)",2734,2734,,,
"Actividad economica no especificada (021)",1946,1382,187,205,172
"Hombres (022)",61447,49137,4642,3406,4262
"Agric., ganadería, caza y silvicultura (023)",26786,25579,1004,176,27
"Pesca (024)",10,9,,,1
"Explotación de minas y canteras (025)",345,78,32,72,163
"Industrias manufactureras (026)",3495,2881,423,143,48
"Suministro de electricidad, gas y agua (027)",123,33,6,48,36
"Construcción (028)",4705,3486,702,393,124
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",8019,7103,590,294,32
"Venta, mant.y rep. veh.autom y motoc. (030)",1568,1306,200,45,17
"Comercio al por mayor (031)",547,386,70,76,15
"Comercio al por menor (032)",5904,5411,320,173,
"Hoteles y restaurantes (033)",1191,906,186,96,3
"Trans., almac. y comunicaciones (034)",6298,5572,319,271,136
"Intermediación financiera (035)",241,39,30,126,46
"Activid.inmobil., empres. y alquileres (036)",2140,1387,269,277,207
"Admin.pub. y defensa; p. segur soc.afil (037)",1946,,,,1946
"Enseñanza (038)",3163,421,675,1237,830
"Servicios sociales y de salud (039)",777,178,36,36,527
