"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PUERTO INCA (000)",9214,9024,2554,1240,1173,873,1309,902,559,414,190,27141
"De 12 a 14 años (001)",1191,1185,1170,14,1,,,,,,6,16
"De 15 a 19 años (002)",1435,1391,916,370,97,5,3,,,,44,591
"De 20 a 24 años (003)",1217,1166,197,420,374,125,45,5,,,51,1761
"De 25 a 29 años (004)",1111,1083,114,188,313,245,186,34,3,,28,2587
"De 30 a 34 años (005)",913,898,40,88,161,191,295,107,13,3,15,3093
"De 35 a 39 años (006)",877,866,35,63,83,131,268,201,64,21,11,3845
"De 40 a 44 años (007)",693,687,31,25,57,68,183,184,91,48,6,3613
"De 45 a 49 años (008)",529,521,12,21,30,42,121,112,114,69,8,3210
"De 50 y más años (009)",1248,1227,39,51,57,66,208,259,274,273,21,8425
"Conviviente (010)",4264,4184,315,864,839,547,765,455,239,160,80,14268
"De 12 a 14 años (011)",23,17,7,9,1,,,,,,6,11
"De 15 a 19 años (012)",537,502,118,291,86,5,2,,,,35,486
"De 20 a 24 años (013)",860,843,87,307,306,100,38,5,,,17,1409
"De 25 a 29 años (014)",760,751,38,127,238,176,142,27,3,,9,1939
"De 30 a 34 años (015)",594,590,15,52,103,126,206,75,10,3,4,2126
"De 35 a 39 años (016)",504,501,12,35,42,77,156,122,41,16,3,2331
"De 40 a 44 años (017)",360,358,19,12,33,25,106,98,43,22,2,1850
"De 45 a 49 años (018)",246,245,7,11,12,14,60,54,55,32,1,1532
"De 50 y más años (019)",380,377,12,20,18,24,55,74,87,87,3,2584
"Separado(a) (020)",309,301,13,70,42,42,52,37,31,14,8,1166
"De 12 a 14 años (021)",3,3,2,1,,,,,,,,1
"De 15 a 19 años (022)",28,25,4,19,2,,,,,,3,23
"De 20 a 24 años (023)",49,49,2,28,12,3,4,,,,,77
