"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CHACHAPOYAS (000)",18589,74,2172,774,971,2065,5181,949,1266,4680,178,279
"Agric., ganadería, caza y silvicultura (001)",7849,,12,12,,,5180,,,2645,,
"Pesca (002)",1,,,,,,1,,,,,
"Explotación de minas y canteras (003)",31,,1,,2,,,12,,16,,
"Industrias manufactureras (004)",794,,18,22,9,3,,687,43,12,,
"Suministro de electricidad, gas y agua (005)",48,,9,9,11,,,5,5,9,,
"Construcción (006)",1105,1,50,26,8,,,39,660,321,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2206,1,29,88,19,1558,,187,13,311,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",217,,5,10,3,41,,150,6,2,,
"Comercio al por mayor (009)",156,,4,14,5,116,,,2,15,,
"Comercio al por menor (010)",1833,1,20,64,11,1401,,37,5,294,,
"Hoteles y restaurantes (011)",614,4,12,35,36,333,,,2,192,,
"Trans., almac. y comunicaciones (012)",701,,13,36,54,19,,8,474,97,,
"Intermediación financiera (013)",70,,10,16,40,,,,,4,,
"Activid.inmobil., empres. y alquileres (014)",497,3,143,98,104,65,,1,8,75,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1204,46,166,150,466,40,,5,52,101,178,
"Enseñanza (016)",1590,17,1448,15,84,,,,1,25,,
"Servicios sociales y de salud (017)",447,1,203,182,38,7,,2,4,10,,
"Otras activ. serv.comun.soc y personales (018)",444,1,55,80,63,40,,3,4,198,,
"Hogares privados con servicio doméstico (019)",664,,,,,,,,,664,,
"Actividad economica no especificada (021)",324,,3,5,37,,,,,,,279
"Hombres (022)",12058,58,1109,419,409,752,4526,722,1243,2581,170,69
"Agric., ganadería, caza y silvicultura (023)",6310,,11,9,,,4525,,,1765,,
"Pesca (024)",1,,,,,,1,,,,,
"Explotación de minas y canteras (025)",30,,1,,1,,,12,,16,,
"Industrias manufactureras (026)",537,,13,13,4,1,,463,35,8,,
"Suministro de electricidad, gas y agua (027)",41,,8,9,5,,,5,5,9,,
"Construcción (028)",1083,1,48,25,4,,,39,653,313,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",981,1,16,62,7,550,,184,13,148,,
