"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia JUNIN (000)",8257,7799,40,1575,1555,1210,1749,1056,467,147,458,28333
"De 12 a 14 años (001)",10,5,,2,3,,,,,,5,8
"De 15 a 19 años (002)",141,118,,105,12,1,,,,,23,132
"De 20 a 24 años (003)",720,556,7,347,159,37,6,,,,164,802
"De 25 a 29 años (004)",805,709,5,291,255,104,48,5,1,,96,1353
"De 30 a 34 años (005)",856,788,7,181,266,176,138,16,3,1,68,1969
"De 35 a 39 años (006)",971,937,3,173,225,226,233,72,5,,34,2816
"De 40 a 44 años (007)",906,884,3,124,169,175,266,108,35,4,22,3175
"De 45 a 49 años (008)",809,794,3,95,114,125,242,141,61,13,15,3317
"De 50 y más años (009)",3039,3008,12,257,352,366,816,714,362,129,31,14761
"Conviviente (010)",2334,2284,14,628,621,406,409,159,36,11,50,6293
"De 12 a 14 años (011)",3,1,,1,,,,,,,2,1
"De 15 a 19 años (012)",95,77,,68,8,1,,,,,18,87
"De 20 a 24 años (013)",380,368,2,213,122,28,3,,,,12,554
"De 25 a 29 años (014)",440,435,3,166,158,72,32,3,1,,5,859
"De 30 a 34 años (015)",414,409,5,74,135,96,83,13,2,1,5,1096
"De 35 a 39 años (016)",370,368,2,46,87,92,105,34,2,,2,1185
"De 40 a 44 años (017)",276,273,1,28,48,67,80,37,11,1,3,1007
"De 45 a 49 años (018)",152,152,1,16,29,22,45,27,9,3,,619
"De 50 y más años (019)",204,201,,16,34,28,61,45,11,6,3,885
"Separado(a) (020)",512,502,6,174,117,77,82,30,16,,10,1327
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",9,7,,7,,,,,,,2,7
"De 20 a 24 años (023)",41,38,1,29,8,,,,,,3,45
