"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LAURICOCHA (000)",9358,6773,566,299,1720
"Hombres (001)",7062,4851,447,234,1530
"Mujeres (002)",2296,1922,119,65,190
"De 06 a 14 años (003)",234,216,18,,
"Hombres (004)",144,130,14,,
"Mujeres (005)",90,86,4,,
"De 15 a 29 años (006)",2759,1900,186,85,588
"Hombres (007)",2055,1326,137,64,528
"Mujeres (008)",704,574,49,21,60
"De 30 a 44 años (009)",3317,2221,198,115,783
"Hombres (010)",2553,1624,156,85,688
"Mujeres (011)",764,597,42,30,95
"De 45 a 64 años (012)",2316,1752,131,95,338
"Hombres (013)",1757,1263,110,81,303
"Mujeres (014)",559,489,21,14,35
"De 65 y más años (015)",732,684,33,4,11
"Hombres (016)",553,508,30,4,11
"Mujeres (017)",179,176,3,,
,,,,,
"URBANA (018)",2146,1527,164,135,320
"Hombres (019)",1372,944,112,96,220
"Mujeres (020)",774,583,52,39,100
"De 06 a 14 años (021)",63,52,11,,
"Hombres (022)",36,29,7,,
"Mujeres (023)",27,23,4,,
"De 15 a 29 años (024)",583,423,54,28,78
"Hombres (025)",361,253,35,19,54
"Mujeres (026)",222,170,19,9,24
"De 30 a 44 años (027)",794,532,60,57,145
"Hombres (028)",499,327,41,37,94
"Mujeres (029)",295,205,19,20,51
"De 45 a 64 años (030)",546,369,34,50,93
"Hombres (031)",361,228,25,40,68
"Mujeres (032)",185,141,9,10,25
"De 65 y más años (033)",160,151,5,,4
"Hombres (034)",115,107,4,,4
"Mujeres (035)",45,44,1,,
,,,,,
"RURAL (036)",7212,5246,402,164,1400
"Hombres (037)",5690,3907,335,138,1310
"Mujeres (038)",1522,1339,67,26,90
"De 06 a 14 años (039)",171,164,7,,
"Hombres (040)",108,101,7,,
"Mujeres (041)",63,63,,,
"De 15 a 29 años (042)",2176,1477,132,57,510
"Hombres (043)",1694,1073,102,45,474
"Mujeres (044)",482,404,30,12,36
"De 30 a 44 años (045)",2523,1689,138,58,638
"Hombres (046)",2054,1297,115,48,594
"Mujeres (047)",469,392,23,10,44
"De 45 a 64 años (048)",1770,1383,97,45,245
"Hombres (049)",1396,1035,85,41,235
"Mujeres (050)",374,348,12,4,10
"De 65 y más años (051)",572,533,28,4,7
"Hombres (052)",438,401,26,4,7
"Mujeres (053)",134,132,2,,
