"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PALPA (000)",5347,91,1683,1834,1416,323
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",26,,2,10,12,2
"Profes., científicos e intelectuales (002)",355,,70,170,109,6
"Técnicos de nivel medio y trab.asimilados (003)",156,,47,65,40,4
"Jefes y empleados de oficina (004)",155,,51,56,48,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",523,7,127,205,153,31
"Agricult.trabaj. calif. agrop. y pesqueros (006)",607,1,83,168,238,117
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",393,5,157,132,85,14
"Obreros construc., conf., papel, fab., instr. (008)",354,3,110,136,96,9
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",2449,73,894,802,565,115
"Otra (010)",13,,3,9,1,
"Ocupación no especificada (011)",139,,45,45,31,18
"Desocupado (012)",177,2,94,36,38,7
"Hombres (013)",3570,63,1135,1153,967,252
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",19,,1,7,9,2
"Profes., científicos e intelectuales (015)",146,,26,59,57,4
"Técnicos de nivel medio y trab.asimilados (016)",89,,26,35,26,2
"Jefes y empleados de oficina (017)",82,,23,30,29,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",212,6,46,83,64,13
"Agricult.trabaj. calif. agrop. y pesqueros (019)",539,1,74,140,217,107
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",348,5,142,116,73,12
"Obreros construc., conf., papel, fab., instr. (021)",343,2,106,134,93,8
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",1571,47,601,488,350,85
"Otra (023)",13,,3,9,1,
"Ocupación no especificada (024)",82,,32,24,14,12
"Desocupado (025)",126,2,55,28,34,7
"Mujeres (026)",1777,28,548,681,449,71
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",7,,1,3,3,
"Profes., científicos e intelectuales (028)",209,,44,111,52,2
"Técnicos de nivel medio y trab.asimilados (029)",67,,21,30,14,2
"Jefes y empleados de oficina (030)",73,,28,26,19,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",311,1,81,122,89,18
"Agricult.trabaj. calif. agrop. y pesqueros (032)",68,,9,28,21,10
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",45,,15,16,12,2
"Obreros construc., conf., papel, fab., instr. (034)",11,1,4,2,3,1
