"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia AZANGARO (000)",34863,33156,202,5833,5873,5184,8277,5131,2138,518,1707,126131
"De 12 a 14 años (001)",39,15,1,13,1,,,,,,24,15
"De 15 a 19 años (002)",697,595,17,501,66,8,3,,,,102,669
"De 20 a 24 años (003)",3217,2602,29,1643,723,158,45,4,,,615,3779
"De 25 a 29 años (004)",4006,3553,24,1208,1215,686,405,12,3,,453,7510
"De 30 a 34 años (005)",3849,3655,13,654,1066,882,846,166,24,4,194,10375
"De 35 a 39 años (006)",3935,3810,18,403,760,846,1179,489,105,10,125,13742
"De 40 a 44 años (007)",3390,3331,8,269,470,603,1072,613,237,59,59,14276
"De 45 a 49 años (008)",3106,3072,10,198,324,429,979,720,327,85,34,14791
"De 50 y más años (009)",12624,12523,82,944,1248,1572,3748,3127,1442,360,101,60974
"Conviviente (010)",9297,8992,70,2951,2463,1511,1406,442,118,31,305,22723
"De 12 a 14 años (011)",21,6,,6,,,,,,,15,6
"De 15 a 19 años (012)",526,443,13,373,52,4,1,,,,83,493
"De 20 a 24 años (013)",2017,1926,20,1195,566,115,29,1,,,91,2804
"De 25 a 29 años (014)",2351,2293,14,759,845,434,234,6,1,,58,4782
"De 30 a 34 años (015)",1747,1719,4,324,505,436,387,54,7,2,28,4733
"De 35 a 39 años (016)",1201,1186,4,144,288,283,315,131,18,3,15,4004
"De 40 a 44 años (017)",592,586,3,65,95,116,189,88,23,7,6,2268
"De 45 a 49 años (018)",327,321,4,33,49,52,91,59,28,5,6,1365
"De 50 y más años (019)",515,512,8,52,63,71,160,103,41,14,3,2268
"Separado(a) (020)",1857,1831,14,753,425,234,261,110,26,8,26,4450
"De 12 a 14 años (021)",4,1,,1,,,,,,,3,1
