"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUARAZ (000)",52505,17207,8073,21217,952,3458,1598
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",141,124,,,17,,
"Profes., científicos e intelectuales (002)",8625,7331,,1138,139,17,
"Técnicos de nivel medio y trab. asimilados (003)",2857,1863,,805,168,21,
"Jefes y empleados de oficina (004)",2760,2745,,3,,12,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",7716,2198,91,4356,217,854,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",6690,2,2,6598,88,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",3703,,1306,2138,168,91,
"Obreros construc.,conf.,papel, fab., instr. (008)",5209,637,1993,2445,89,45,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",13634,1738,4551,3443,54,2250,1598
"Otra (010)",330,330,,,,,
"Ocupación no especificada (011)",840,239,130,291,12,168,
"Hombres (012)",33984,9528,7345,14751,663,1636,61
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",106,95,,,11,,
"Profes., científicos e intelectuales (014)",4774,3842,,827,99,6,
"Técnicos de nivel medio y trab. asimilados (015)",1824,1117,,592,105,10,
"Jefes y empleados de oficina (016)",1251,1246,,1,,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",3445,1257,39,1822,105,222,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",5931,2,2,5851,76,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",3239,,1228,1807,148,56,
"Obreros construc.,conf.,papel, fab., instr. (020)",5089,632,1957,2370,88,42,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",7693,933,4029,1381,28,1261,61
"Otra (022)",313,313,,,,,
"Ocupación no especificada (023)",319,91,90,100,3,35,
"Mujeres (024)",18521,7679,728,6466,289,1822,1537
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",35,29,,,6,,
"Profes., científicos e intelectuales (026)",3851,3489,,311,40,11,
"Técnicos de nivel medio y trab. asimilados (027)",1033,746,,213,63,11,
"Jefes y empleados de oficina (028)",1509,1499,,2,,8,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",4271,941,52,2534,112,632,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",759,,,747,12,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",464,,78,331,20,35,
"Obreros construc.,conf.,papel, fab., instr. (032)",120,5,36,75,1,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",5941,805,522,2062,26,989,1537
"Otra (034)",17,17,,,,,
"Ocupación no especificada (035)",521,148,40,191,9,133,
,,,,,,,
"URBANA (036)",41493,16494,5630,15236,881,1851,1401
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",132,115,,,17,,
"Profes., científicos e intelectuales (038)",8398,7130,,1114,137,17,
"Técnicos de nivel medio y trab. asimilados (039)",2762,1802,,778,163,19,
"Jefes y empleados de oficina (040)",2630,2616,,3,,11,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",7256,2071,85,4052,216,832,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",1848,1,1,1809,37,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",3190,,1059,1889,163,79,
"Obreros construc.,conf.,papel, fab., instr. (044)",4480,567,1627,2165,82,39,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",9779,1647,2764,3187,54,726,1401
"Otra (046)",326,326,,,,,
"Ocupación no especificada (047)",692,219,94,239,12,128,
"Hombres (048)",25203,9026,5117,9636,601,768,55
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",98,87,,,11,,
"Profes., científicos e intelectuales (050)",4635,3725,,807,97,6,
"Técnicos de nivel medio y trab. asimilados (051)",1753,1074,,569,101,9,
"Jefes y empleados de oficina (052)",1149,1144,,1,,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",3204,1166,36,1683,104,215,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",1558,1,1,1524,32,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",2767,,986,1589,144,48,
"Obreros construc.,conf.,papel, fab., instr. (056)",4367,562,1594,2094,81,36,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",5091,871,2437,1279,28,421,55
"Otra (058)",309,309,,,,,
"Ocupación no especificada (059)",272,87,63,90,3,29,
"Mujeres (060)",16290,7468,513,5600,280,1083,1346
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",34,28,,,6,,
"Profes., científicos e intelectuales (062)",3763,3405,,307,40,11,
"Técnicos de nivel medio y trab. asimilados (063)",1009,728,,209,62,10,
"Jefes y empleados de oficina (064)",1481,1472,,2,,7,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",4052,905,49,2369,112,617,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",290,,,285,5,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",423,,73,300,19,31,
"Obreros construc.,conf.,papel, fab., instr. (068)",113,5,33,71,1,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",4688,776,327,1908,26,305,1346
"Otra (070)",17,17,,,,,
"Ocupación no especificada (071)",420,132,31,149,9,99,
,,,,,,,
"RURAL (072)",11012,713,2443,5981,71,1607,197
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",9,9,,,,,
"Profes., científicos e intelectuales (074)",227,201,,24,2,,
"Técnicos de nivel medio y trab. asimilados (075)",95,61,,27,5,2,
"Jefes y empleados de oficina (076)",130,129,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",460,127,6,304,1,22,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",4842,1,1,4789,51,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",513,,247,249,5,12,
"Obreros construc.,conf.,papel, fab., instr. (080)",729,70,366,280,7,6,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",3855,91,1787,256,,1524,197
"Otra (082)",4,4,,,,,
"Ocupación no especificada (083)",148,20,36,52,,40,
"Hombres (084)",8781,502,2228,5115,62,868,6
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",8,8,,,,,
"Profes., científicos e intelectuales (086)",139,117,,20,2,,
"Técnicos de nivel medio y trab. asimilados (087)",71,43,,23,4,1,
"Jefes y empleados de oficina (088)",102,102,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",241,91,3,139,1,7,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",4373,1,1,4327,44,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",472,,242,218,4,8,
"Obreros construc.,conf.,papel, fab., instr. (092)",722,70,363,276,7,6,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",2602,62,1592,102,,840,6
"Otra (094)",4,4,,,,,
