"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia AYABACA (000)",45560,156893,136798,,3161,87.2,2
"De 12 a 14 años (001)",5745,23,23,,5,100,21.7
"De 15 a 19 años (002)",6299,1245,1209,391,97.1,31.4,
"De 20 a 24 años (003)",4552,5563,5363,773,96.4,13.9,
"De 25 a 29 años (004)",4207,9613,9223,724,95.9,7.5,
"De 30 a 34 años (005)",3923,13072,12478,556,95.5,4.3,
"De 35 a 39 años (006)",3824,16712,15686,451,93.9,2.7,
"De 40 a 44 años (007)",3317,17732,16181,216,91.3,1.2,
"De 45 a 49 años (008)",2876,17251,15411,45,89.3,0.3,
"De 50 y más años (009)",10817,75682,61224,,80.9,,
"Sin nivel (010)",10699,61770,50895,572,82.4,0.9,
"De 12 a 14 años (011)",144,2,2,,100,,
"De 15 a 19 años (012)",307,101,98,32,97,31.7,
"De 20 a 24 años (013)",465,717,676,95,94.3,13.2,
"De 25 a 29 años (014)",608,1565,1494,122,95.5,7.8,
"De 30 a 34 años (015)",733,2779,2598,114,93.5,4.1,
"De 35 a 39 años (016)",850,4118,3780,128,91.8,3.1,
"De 40 a 44 años (017)",945,5545,4972,65,89.7,1.2,
"De 45 a 49 años (018)",892,5698,4958,16,87,0.3,
"De 50 y más años (019)",5755,41245,32317,,78.4,,
"Educacion Inicial (020)",50,88,84,5,95.5,5.7,
"De 12 a 14 años (021)",8,,,,,,
"De 15 a 19 años (022)",11,2,2,1,100,50,
"De 20 a 24 años (023)",8,12,11,1,91.7,8.3,
"De 25 a 29 años (024)",10,23,23,2,100,8.7,
"De 30 a 34 años (025)",8,26,24,,92.3,,
"De 35 a 39 años (026)",5,25,24,1,96,4,
"Primaria (030)",23617,80710,72202,1940,89.5,2.4,
"De 12 a 14 años (031)",3923,19,19,5,100,26.3,
"De 15 a 19 años (032)",2663,784,757,246,96.6,31.4,
"De 20 a 24 años (033)",2428,3487,3360,463,96.4,13.3,
"De 25 a 29 años (034)",2373,6222,5954,465,95.7,7.5,
"De 30 a 34 años (035)",2229,8203,7857,345,95.8,4.2,
"De 35 a 39 años (036)",2132,10172,9578,262,94.2,2.6,
"De 40 a 44 años (037)",1803,10255,9367,127,91.3,1.2,
"De 45 a 49 años (038)",1616,10162,9138,27,89.9,0.3,
