"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia OXAPAMPA (000)",76072,4115,9805,10702,8475,13716,11132,14682,3445
"Sabe leer y escribir (001)",63218,,6522,10462,8239,13141,10453,12291,2110
"No sabe leer y escribir (002)",12854,4115,3283,240,236,575,679,2391,1335
"Hombres (004)",40350,2063,5054,5497,4486,7285,5800,8152,2013
"Sabe leer y escribir (005)",34652,,3345,5369,4376,7081,5585,7395,1501
"No sabe leer y escribir (006)",5698,2063,1709,128,110,204,215,757,512
"Mujeres (008)",35722,2052,4751,5205,3989,6431,5332,6530,1432
"Sabe leer y escribir (009)",28566,,3177,5093,3863,6060,4868,4896,609
"No sabe leer y escribir (010)",7156,2052,1574,112,126,371,464,1634,823
,,,,,,,,,
"URBANA (012)",29079,1147,3132,3809,3433,5245,4698,6336,1279
"Sabe leer y escribir (013)",26263,,2470,3784,3402,5186,4614,5851,956
"No sabe leer y escribir (014)",2816,1147,662,25,31,59,84,485,323
"Hombres (016)",15102,547,1598,1900,1806,2710,2352,3457,732
"Sabe leer y escribir (017)",13914,,1250,1886,1786,2686,2327,3349,630
"No sabe leer y escribir (018)",1188,547,348,14,20,24,25,108,102
"Mujeres (020)",13977,600,1534,1909,1627,2535,2346,2879,547
"Sabe leer y escribir (021)",12349,,1220,1898,1616,2500,2287,2502,326
"No sabe leer y escribir (022)",1628,600,314,11,11,35,59,377,221
,,,,,,,,,
"RURAL (024)",46993,2968,6673,6893,5042,8471,6434,8346,2166
"Sabe leer y escribir (025)",36955,,4052,6678,4837,7955,5839,6440,1154
"No sabe leer y escribir (026)",10038,2968,2621,215,205,516,595,1906,1012
"Hombres (028)",25248,1516,3456,3597,2680,4575,3448,4695,1281
"Sabe leer y escribir (029)",20738,,2095,3483,2590,4395,3258,4046,871
"No sabe leer y escribir (030)",4510,1516,1361,114,90,180,190,649,410
"Mujeres (032)",21745,1452,3217,3296,2362,3896,2986,3651,885
"Sabe leer y escribir (033)",16217,,1957,3195,2247,3560,2581,2394,283
"No sabe leer y escribir (034)",5528,1452,1260,101,115,336,405,1257,602
