"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia GRAN CHIMU (000)",10214,812,47,5140,2691,260,548,129,587
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",15,,,2,3,,3,2,5
"Profes., científicos e intelectuales (002)",603,,,,34,34,165,30,340
"Técnicos de nivel medio ytrab.asimilados (003)",199,1,,11,39,29,68,12,39
"Jefes y empleados de oficina (004)",134,,,1,44,9,29,7,44
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",511,17,,189,170,29,52,18,36
"Agricult.trabaj. calif.agrop. y pesquros (006)",3865,425,19,2523,758,36,60,16,28
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",792,22,2,293,348,31,53,17,26
"Obreros. construc., conf., papel, fab., instr (008)",374,2,,125,173,17,25,6,26
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",3455,304,26,1877,1061,69,67,17,34
"Otra (010)",26,,,,2,1,15,3,5
"Ocupación no especificada (011)",240,41,,119,59,5,11,1,4
"Hombres (012)",8757,662,45,4636,2376,192,364,101,381
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",12,,,2,2,,2,2,4
"Profes., científicos e intelectuales (014)",288,,,,9,8,72,14,185
"Técnicos de nivel medio ytrab.asimilados (015)",152,,,6,29,24,49,11,33
"Jefes y empleados de oficina (016)",83,,,1,25,4,14,6,33
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",234,2,,76,95,12,23,12,14
"Agricult.trabaj. calif.agrop. y pesquros (018)",3801,406,19,2494,744,36,59,16,27
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",736,16,2,265,335,29,49,16,24
"Obreros. construc., conf., papel, fab., instr (020)",373,2,,125,173,16,25,6,26
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",2983,228,24,1640,936,60,53,14,28
"Otra (022)",25,,,,2,1,14,3,5
"Ocupación no especificada (023)",70,8,,27,26,2,4,1,2
"Mujeres (024)",1457,150,2,504,315,68,184,28,206
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",3,,,,1,,1,,1
"Profes., científicos e intelectuales (026)",315,,,,25,26,93,16,155
"Técnicos de nivel medio ytrab.asimilados (027)",47,1,,5,10,5,19,1,6
"Jefes y empleados de oficina (028)",51,,,,19,5,15,1,11
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",277,15,,113,75,17,29,6,22
"Agricult.trabaj. calif.agrop. y pesquros (030)",64,19,,29,14,,1,,1
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",56,6,,28,13,2,4,1,2
"Obreros. construc., conf., papel, fab., instr (032)",1,,,,,1,,,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",472,76,2,237,125,9,14,3,6
"Otra (034)",1,,,,,,1,,
"Ocupación no especificada (035)",170,33,,92,33,3,7,,2
,,,,,,,,,
"URBANA (036)",2343,64,5,779,737,133,296,61,268
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",11,,,1,2,,3,1,4
"Profes., científicos e intelectuales (038)",281,,,,12,13,99,11,146
