"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia AMBO (000)",15658,36,532,200,156,1070,7205,487,830,4828,29,285
"Agric., ganadería, caza y silvicultura (001)",11096,,3,5,,,7203,2,2,3881,,
"Pesca (002)",2,,,,,,2,,,,,
"Explotación de minas y canteras (003)",125,,8,2,1,,,96,6,12,,
"Industrias manufactureras (004)",340,,1,6,7,6,,283,21,16,,
"Suministro de electricidad, gas y agua (005)",2,,,,,,,1,1,,,
"Construcción (006)",462,,6,5,2,,,9,275,165,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1221,,4,19,2,872,,90,7,227,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",98,,,3,1,23,,64,6,1,,
"Comercio al por mayor (009)",61,,,2,,56,,,,3,,
"Comercio al por menor (010)",1062,,4,14,1,793,,26,1,223,,
"Hoteles y restaurantes (011)",326,,3,15,3,164,,,,141,,
"Trans., almac. y comunicaciones (012)",597,1,1,3,8,1,,,502,81,,
"Intermediación financiera (013)",9,,1,2,3,,,,,3,,
"Activid.inmobil., empres. y alquileres (014)",77,,19,20,14,10,,,7,7,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",193,28,15,13,63,4,,1,7,33,29,
"Enseñanza (016)",435,7,395,4,16,,,,,13,,
"Servicios sociales y de salud (017)",140,,61,41,20,1,,4,1,12,,
"Otras activ. serv.comun.soc y personales (018)",142,,10,56,5,12,,1,1,57,,
"Hogares privados con servicio doméstico (019)",180,,,,,,,,,180,,
"Actividad economica no especificada (021)",311,,5,9,12,,,,,,,285
"Hombres (022)",12787,25,305,129,72,436,6901,421,821,3566,28,83
"Agric., ganadería, caza y silvicultura (023)",9982,,2,5,,,6899,2,2,3072,,
"Pesca (024)",2,,,,,,2,,,,,
"Explotación de minas y canteras (025)",125,,8,2,1,,,96,6,12,,
"Industrias manufactureras (026)",267,,1,3,3,3,,224,17,16,,
"Suministro de electricidad, gas y agua (027)",2,,,,,,,1,1,,,
"Construcción (028)",457,,5,5,2,,,9,272,164,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",602,,1,13,,390,,85,7,106,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",90,,,3,,19,,61,6,1,,
"Comercio al por mayor (031)",35,,,1,,31,,,,3,,
"Comercio al por menor (032)",477,,1,9,,340,,24,1,102,,
"Hoteles y restaurantes (033)",65,,2,8,3,29,,,,23,,
"Trans., almac. y comunicaciones (034)",584,,,2,4,,,,500,78,,
"Intermediación financiera (035)",7,,1,1,2,,,,,3,,
"Activid.inmobil., empres. y alquileres (036)",57,,14,19,5,9,,,7,3,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",139,19,9,7,36,3,,1,7,29,28,
"Enseñanza (038)",252,6,227,3,6,,,,,10,,
"Servicios sociales y de salud (039)",48,,23,13,5,,,2,1,4,,
"Otras activ. serv.comun.soc y personales (040)",76,,7,42,1,2,,1,1,22,,
"Hogares privados con servicio doméstico (041)",24,,,,,,,,,24,,
"Actividad economica no especificada (043)",98,,5,6,4,,,,,,,83
"Mujeres (044)",2871,11,227,71,84,634,304,66,9,1262,1,202
"Agric., ganadería, caza y silvicultura (045)",1114,,1,,,,304,,,809,,
