"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia BONGARA (000)",9923,1304,1339,5474,203,1423,180
"Sin nivel (001)",627,7,96,375,13,121,15
"Educación inicial (002)",13,,1,10,,2,
"Primaria (003)",5123,133,741,3166,103,876,104
"Secundaria (004)",2572,258,405,1436,55,363,55
"Superior no univ. incompleta (005)",275,113,29,110,5,16,2
"Superior no univ. completa (006)",617,412,28,143,9,23,2
"Superior univ. incompleta (007)",195,82,18,80,7,7,1
"Superior univ. completa (008)",501,299,21,154,11,15,1
"Hombres (010)",7413,799,1133,4443,170,866,2
"Sin nivel (011)",379,5,61,257,8,48,
"Educación inicial (012)",10,,1,8,,1,
"Primaria (013)",3932,95,622,2618,82,515,
"Secundaria (014)",2028,171,366,1175,50,265,1
"Superior no univ. incompleta (015)",201,78,24,84,4,11,
"Superior no univ. completa (016)",372,215,27,109,8,13,
"Superior univ. incompleta (017)",139,52,15,60,7,4,1
"Superior univ. completa (018)",352,183,17,132,11,9,
"Mujeres (020)",2510,505,206,1031,33,557,178
"Sin nivel (021)",248,2,35,118,5,73,15
"Educación inicial (022)",3,,,2,,1,
"Primaria (023)",1191,38,119,548,21,361,104
"Secundaria (024)",544,87,39,261,5,98,54
"Superior no univ. incompleta (025)",74,35,5,26,1,5,2
"Superior no univ. completa (026)",245,197,1,34,1,10,2
"Superior univ. incompleta (027)",56,30,3,20,,3,
"Superior univ. completa (028)",149,116,4,22,,6,1
,,,,,,,
"URBANA (030)",6192,1156,711,3287,152,730,156
"Sin nivel (031)",233,4,26,130,5,56,12
"Educación inicial (032)",10,,,8,,2,
"Primaria (033)",2801,105,375,1743,79,410,89
"Secundaria (034)",1862,223,260,1057,49,223,50
"Superior no univ. incompleta (035)",242,104,22,98,4,12,2
"Superior no univ. completa (036)",539,385,16,116,5,15,2
"Superior univ. incompleta (037)",143,74,6,56,5,2,
"Superior univ. completa (038)",362,261,6,79,5,10,1
"Hombres (040)",4297,699,590,2497,127,383,1
"Sin nivel (041)",95,2,14,61,3,15,
"Educación inicial (042)",7,,,6,,1,
"Primaria (043)",1968,68,300,1338,63,199,
"Secundaria (044)",1393,146,231,827,44,144,1
"Superior no univ. incompleta (045)",176,74,18,74,3,7,
"Superior no univ. completa (046)",322,206,16,86,4,10,
"Superior univ. incompleta (047)",98,45,5,42,5,1,
"Superior univ. completa (048)",238,158,6,63,5,6,
"Mujeres (050)",1895,457,121,790,25,347,155
"Sin nivel (051)",138,2,12,69,2,41,12
"Educación inicial (052)",3,,,2,,1,
"Primaria (053)",833,37,75,405,16,211,89
"Secundaria (054)",469,77,29,230,5,79,49
"Superior no univ. incompleta (055)",66,30,4,24,1,5,2
"Superior no univ. completa (056)",217,179,,30,1,5,2
"Superior univ. incompleta (057)",45,29,1,14,,1,
"Superior univ. completa (058)",124,103,,16,,4,1
,,,,,,,
"RURAL (060)",3731,148,628,2187,51,693,24
"Sin nivel (061)",394,3,70,245,8,65,3
"Educación inicial (062)",3,,1,2,,,
"Primaria (063)",2322,28,366,1423,24,466,15
"Secundaria (064)",710,35,145,379,6,140,5
"Superior no univ. incompleta (065)",33,9,7,12,1,4,
"Superior no univ. completa (066)",78,27,12,27,4,8,
"Superior univ. incompleta (067)",52,8,12,24,2,5,1
"Superior univ. completa (068)",139,38,15,75,6,5,
"Hombres (070)",3116,100,543,1946,43,483,1
"Sin nivel (071)",284,3,47,196,5,33,
"Educación inicial (072)",3,,1,2,,,
"Primaria (073)",1964,27,322,1280,19,316,
"Secundaria (074)",635,25,135,348,6,121,
"Superior no univ. incompleta (075)",25,4,6,10,1,4,
"Superior no univ. completa (076)",50,9,11,23,4,3,
"Superior univ. incompleta (077)",41,7,10,18,2,3,1
"Superior univ. completa (078)",114,25,11,69,6,3,
"Mujeres (080)",615,48,85,241,8,210,23
"Sin nivel (081)",110,,23,49,3,32,3
"Primaria (083)",358,1,44,143,5,150,15
"Secundaria (084)",75,10,10,31,,19,5
"Superior no univ. incompleta (085)",8,5,1,2,,,
"Superior no univ. completa (086)",28,18,1,4,,5,
"Superior univ. incompleta (087)",11,1,2,6,,2,
"Superior univ. completa (088)",25,13,4,6,,2,
