"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUANCANE (000)",27804,81779,71892,,992,87.9,1.2
"De 12 a 14 años (001)",2614,9,6,,,66.7,
"De 15 a 19 años (002)",3251,286,277,91,96.9,31.8,
"De 20 a 24 años (003)",2379,1630,1579,270,96.9,16.6,
"De 25 a 29 años (004)",2127,3398,3247,243,95.6,7.2,
"De 30 a 34 años (005)",1988,4843,4594,179,94.9,3.7,
"De 35 a 39 años (006)",2017,6585,6179,133,93.8,2,
"De 40 a 44 años (007)",1994,7940,7361,65,92.7,0.8,
"De 45 a 49 años (008)",1772,7976,7291,11,91.4,0.1,
"De 50 y más años (009)",9662,49112,41358,,84.2,,
"PEA (010)",9899,32263,28727,394,89,1.2,
"De 12 a 14 años (011)",128,3,1,,33.3,,
"De 15 a 19 años (012)",652,112,108,43,96.4,38.4,
"De 20 a 24 años (013)",953,647,628,106,97.1,16.4,
"De 25 a 29 años (014)",966,1399,1347,99,96.3,7.1,
"De 30 a 34 años (015)",961,2202,2087,76,94.8,3.5,
"De 35 a 39 años (016)",921,2863,2673,44,93.4,1.5,
"De 40 a 44 años (017)",958,3633,3360,24,92.5,0.7,
"De 45 a 49 años (018)",840,3666,3373,2,92,0.1,
"De 50 y más años (019)",3520,17738,15150,,85.4,,
"Ocupada (020)",9656,32032,28514,386,89,1.2,
"De 12 a 14 años (021)",119,3,1,,33.3,,
"De 15 a 19 años (022)",588,108,104,42,96.3,38.9,
"De 20 a 24 años (023)",894,624,605,104,97,16.7,
"De 25 a 29 años (024)",925,1368,1316,97,96.2,7.1,
"De 30 a 34 años (025)",934,2162,2049,74,94.8,3.4,
"De 35 a 39 años (026)",910,2835,2647,43,93.4,1.5,
"De 40 a 44 años (027)",947,3615,3342,24,92.4,0.7,
"De 45 a 49 años (028)",835,3652,3363,2,92.1,0.1,
"De 50 y más años (029)",3504,17665,15087,,85.4,,
"Desocupada (030)",243,231,213,8,92.2,3.5,
"De 12 a 14 años (031)",9,,,,,,
"De 15 a 19 años (032)",64,4,4,1,100,25,
"De 20 a 24 años (033)",59,23,23,2,100,8.7,
"De 25 a 29 años (034)",41,31,31,2,100,6.5,
"De 30 a 34 años (035)",27,40,38,2,95,5,
"De 35 a 39 años (036)",11,28,26,1,92.9,3.6,
