"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BAGUA (000)",17106,16304,72,3329,3129,2589,3589,2058,1137,401,802,60316
"De 12 a 14 años (001)",48,20,3,14,3,,,,,,28,20
"De 15 a 19 años (002)",811,728,8,573,123,19,5,,,,83,896
"De 20 a 24 años (003)",2272,1970,16,1023,610,233,78,10,,,302,3343
"De 25 a 29 años (004)",2515,2355,6,695,683,485,412,64,10,,160,5772
"De 30 a 34 años (005)",2196,2112,8,402,553,448,486,172,37,6,84,6426
"De 35 a 39 años (006)",2256,2208,1,226,459,461,615,314,114,18,48,8370
"De 40 a 44 años (007)",1786,1757,4,146,258,341,566,263,131,48,29,7495
"De 45 a 49 años (008)",1451,1438,8,74,187,229,446,276,165,53,13,6851
"De 50 y más años (009)",3771,3716,18,176,253,373,981,959,680,276,55,21143
"Sin nivel (010)",3154,3080,14,238,283,333,816,722,485,189,74,16259
"De 12 a 14 años (011)",1,,,,,,,,,,1,
"De 15 a 19 años (012)",50,48,,34,9,4,1,,,,2,68
"De 20 a 24 años (013)",133,119,,37,38,25,16,3,,,14,277
"De 25 a 29 años (014)",184,174,2,21,28,40,63,15,5,,10,611
"De 30 a 34 años (015)",182,175,,18,23,35,49,36,10,4,7,746
"De 35 a 39 años (016)",249,245,,20,27,26,76,63,27,6,4,1192
"De 40 a 44 años (017)",264,260,1,18,15,30,75,70,39,12,4,1385
"De 45 a 49 años (018)",321,321,1,13,31,29,89,82,52,24,,1797
"De 50 y más años (019)",1770,1738,10,77,112,144,447,453,352,143,32,10183
"Educacion Inicial (020)",53,51,,7,17,10,9,5,3,,2,170
"De 15 a 19 años (022)",1,1,,1,,,,,,,,1
