"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANCAYO (000)",189573,182487,63197,27529,26642,19215,23490,12640,6330,3444,7086,414678
"De 12 a 14 años (001)",15806,15745,15689,50,6,,,,,,61,62
"De 15 a 19 años (002)",25496,25267,23398,1643,180,26,20,,,,229,2161
"De 20 a 24 años (003)",23561,21043,12337,6156,2024,413,88,25,,,2518,11977
"De 25 a 29 años (004)",20331,18239,5072,6500,4262,1658,679,55,13,,2092,23286
"De 30 a 34 años (005)",18132,17239,2394,4462,5237,2906,1889,306,38,7,893,34063
"De 35 a 39 años (006)",16735,16302,1165,2764,4627,3528,3133,859,192,34,433,43618
"De 40 a 44 años (007)",14821,14580,794,1736,3334,3123,3578,1392,506,117,241,47848
"De 45 a 49 años (008)",12764,12604,524,1227,2416,2367,3357,1733,720,260,160,47865
"De 50 y más años (009)",41927,41468,1824,2991,4556,5194,10746,8270,4861,3026,459,203798
"Conviviente (010)",35080,34359,3479,10983,8735,4832,4294,1395,452,189,721,76473
"De 12 a 14 años (011)",139,86,57,26,3,,,,,,53,32
"De 15 a 19 años (012)",2028,1868,749,973,124,12,10,,,,160,1297
"De 20 a 24 años (013)",6919,6671,1232,3707,1391,274,53,14,,,248,7623
"De 25 a 29 años (014)",7915,7761,718,3213,2477,956,374,19,4,,154,12751
"De 30 a 34 años (015)",6510,6465,318,1665,2249,1256,842,120,13,2,45,14439
"De 35 a 39 años (016)",4579,4549,145,693,1324,1110,981,241,44,11,30,12945
"De 40 a 44 años (017)",2984,2974,92,328,608,623,875,320,100,28,10,10467
"De 45 a 49 años (018)",1682,1676,52,176,280,292,503,261,81,31,6,6536
"De 50 y más años (019)",2324,2309,116,202,279,309,656,420,210,117,15,10383
"Separado(a) (020)",8838,8756,176,2658,2077,1370,1457,637,266,115,82,24893
