"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CONCEPCION (000)",781,243,538
"Sin nivel (001)",22,4,18
"Educación inicial (002)",1,,1
"Primaria (003)",180,45,135
"Secundaria (004)",349,127,222
"Superior no univ. incompleta (005)",46,13,33
"Superior no univ. completa (006)",94,30,64
"Superior univ. incompleta (007)",24,4,20
"Superior univ. completa (008)",65,20,45
"De 14 a 29 años (010)",429,194,235
"Sin nivel (011)",5,2,3
"Educación inicial (012)",1,,1
"Primaria (013)",54,30,24
"Secundaria (014)",228,109,119
"Superior no univ. incompleta (015)",33,10,23
"Superior no univ. completa (016)",63,25,38
"Superior univ. incompleta (017)",8,1,7
"Superior univ. completa (018)",37,17,20
"De 30 a 44 años (020)",223,41,182
"Sin nivel (021)",6,2,4
"Primaria (023)",67,13,54
"Secundaria (024)",83,13,70
"Superior no univ. incompleta (025)",10,3,7
"Superior no univ. completa (026)",27,4,23
"Superior univ. incompleta (027)",6,3,3
"Superior univ. completa (028)",24,3,21
"De 45 a 64 años (030)",94,8,86
"Sin nivel (031)",8,,8
"Primaria (033)",34,2,32
"Secundaria (034)",33,5,28
"Superior no univ. incompleta (035)",3,,3
"Superior no univ. completa (036)",3,1,2
"Superior univ. incompleta (037)",9,,9
"Superior univ. completa (038)",4,,4
"De 65 y más años (040)",35,,35
"Sin nivel (041)",3,,3
"Primaria (043)",25,,25
"Secundaria (044)",5,,5
"Superior no univ. completa (046)",1,,1
"Superior univ. incompleta (047)",1,,1
,,,
"AREA URBANA (050)",446,114,332
"Sin nivel (051)",9,3,6
"Educación inicial (052)",1,,1
"Primaria (053)",74,12,62
"Secundaria (054)",192,58,134
"Superior no univ. incompleta (055)",30,5,25
"Superior no univ. completa (056)",68,17,51
"Superior univ. incompleta (057)",18,4,14
"Superior univ. completa (058)",54,15,39
"De 14 a 29 años (060)",242,89,153
"Sin nivel (061)",2,2,
"Educación inicial (062)",1,,1
"Primaria (063)",16,7,9
"Secundaria (064)",117,48,69
"Superior no univ. incompleta (065)",22,4,18
"Superior no univ. completa (066)",46,14,32
"Superior univ. incompleta (067)",7,1,6
"Superior univ. completa (068)",31,13,18
"De 30 a 44 años (070)",135,20,115
"Sin nivel (071)",2,1,1
"Primaria (073)",35,4,31
"Secundaria (074)",49,6,43
"Superior no univ. incompleta (075)",6,1,5
"Superior no univ. completa (076)",20,3,17
"Superior univ. incompleta (077)",4,3,1
"Superior univ. completa (078)",19,2,17
"De 45 a 64 años (080)",53,5,48
"Sin nivel (081)",3,,3
"Primaria (083)",14,1,13
"Secundaria (084)",22,4,18
"Superior no univ. incompleta (085)",2,,2
"Superior no univ. completa (086)",2,,2
"Superior univ. incompleta (087)",6,,6
"Superior univ. completa (088)",4,,4
"De 65 y más años (090)",16,,16
"Sin nivel (091)",2,,2
"Primaria (093)",9,,9
"Secundaria (094)",4,,4
"Superior univ. incompleta (097)",1,,1
,,,
"AREA RURAL (100)",335,129,206
"Sin nivel (101)",13,1,12
"Primaria (103)",106,33,73
"Secundaria (104)",157,69,88
"Superior no univ. incompleta (105)",16,8,8
"Superior no univ. completa (106)",26,13,13
"Superior univ. incompleta (107)",6,,6
"Superior univ. completa (108)",11,5,6
"De 14 a 29 años (110)",187,105,82
"Sin nivel (111)",3,,3
"Primaria (113)",38,23,15
"Secundaria (114)",111,61,50
"Superior no univ. incompleta (115)",11,6,5
"Superior no univ. completa (116)",17,11,6
"Superior univ. incompleta (117)",1,,1
"Superior univ. completa (118)",6,4,2
"De 30 a 44 años (120)",88,21,67
"Sin nivel (121)",4,1,3
"Primaria (123)",32,9,23
"Secundaria (124)",34,7,27
"Superior no univ. incompleta (125)",4,2,2
"Superior no univ. completa (126)",7,1,6
"Superior univ. incompleta (127)",2,,2
"Superior univ. completa (128)",5,1,4
"De 45 a 64 años (130)",41,3,38
"Sin nivel (131)",5,,5
"Primaria (133)",20,1,19
"Secundaria (134)",11,1,10
"Superior no univ. incompleta (135)",1,,1
"Superior no univ. completa (136)",1,1,
"Superior univ. incompleta (137)",3,,3
"De 65 y más años (140)",19,,19
"Sin nivel (141)",1,,1
"Primaria (143)",16,,16
"Secundaria (144)",1,,1
"Superior no univ. completa (146)",1,,1
