"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia SAN ROMAN (000)",116247,71828,1726,1926,37597,667,62,135,183,2123
"Hombres (001)",47649,36803,1204,937,6815,295,42,71,178,1304
"Mujeres (002)",68598,35025,522,989,30782,372,20,64,5,819
"De 06 a 14 años (003)",46819,45209,,,964,283,2,28,,333
"Hombres (004)",23759,23014,,,414,152,1,21,,157
"Mujeres (005)",23060,22195,,,550,131,1,7,,176
"De 15 a 29 años (006)",39885,25796,37,458,12630,,25,33,183,723
"Hombres (007)",16650,13348,22,204,2399,,17,18,178,464
"Mujeres (008)",23235,12448,15,254,10231,,8,15,5,259
"De 30 a 44 años (009)",14187,699,92,577,12292,,25,12,,490
"Hombres (010)",2621,374,54,266,1546,,16,6,,359
"Mujeres (011)",11566,325,38,311,10746,,9,6,,131
"De 45 a 64 años (012)",9618,116,652,522,7973,12,10,23,,310
"Hombres (013)",2378,63,440,268,1386,4,8,9,,200
"Mujeres (014)",7240,53,212,254,6587,8,2,14,,110
"De 65 y más años (015)",5738,8,945,369,3738,372,,39,,267
"Hombres (016)",2241,4,688,199,1070,139,,17,,124
"Mujeres (017)",3497,4,257,170,2668,233,,22,,143
,,,,,,,,,,
"AREA URBANA (018)",107298,66534,1511,1880,34468,587,62,109,180,1967
"Hombres (019)",44291,34072,1063,907,6491,267,42,58,175,1216
"Mujeres (020)",63007,32462,448,973,27977,320,20,51,5,751
"De 06 a 14 años (021)",42747,41239,,,929,257,2,24,,296
"Hombres (022)",21681,20978,,,403,141,1,17,,141
"Mujeres (023)",21066,20261,,,526,116,1,7,,155
"De 15 a 29 años (024)",37693,24489,36,450,11799,,25,29,180,685
"Hombres (025)",15859,12660,22,199,2332,,17,15,175,439
"Mujeres (026)",21834,11829,14,251,9467,,8,14,5,246
"De 30 a 44 años (027)",13403,686,91,570,11547,,25,10,,474
"Hombres (028)",2558,368,54,260,1507,,16,6,,347
"Mujeres (029)",10845,318,37,310,10040,,9,4,,127
"De 45 a 64 años (030)",8727,112,610,511,7175,9,10,18,,282
"Hombres (031)",2269,62,411,261,1333,2,8,9,,183
"Mujeres (032)",6458,50,199,250,5842,7,2,9,,99
"De 65 y más años (033)",4728,8,774,349,3018,321,,28,,230
"Hombres (034)",1924,4,576,187,916,124,,11,,106
"Mujeres (035)",2804,4,198,162,2102,197,,17,,124
,,,,,,,,,,
"AREA RURAL (036)",8949,5294,215,46,3129,80,,26,3,156
"Hombres (037)",3358,2731,141,30,324,28,,13,3,88
"Mujeres (038)",5591,2563,74,16,2805,52,,13,,68
"De 06 a 14 años (039)",4072,3970,,,35,26,,4,,37
"Hombres (040)",2078,2036,,,11,11,,4,,16
"Mujeres (041)",1994,1934,,,24,15,,,,21
"De 15 a 29 años (042)",2192,1307,1,8,831,,,4,3,38
"Hombres (043)",791,688,,5,67,,,3,3,25
"Mujeres (044)",1401,619,1,3,764,,,1,,13
"De 30 a 44 años (045)",784,13,1,7,745,,,2,,16
"Hombres (046)",63,6,,6,39,,,,,12
"Mujeres (047)",721,7,1,1,706,,,2,,4
"De 45 a 64 años (048)",891,4,42,11,798,3,,5,,28
"Hombres (049)",109,1,29,7,53,2,,,,17
"Mujeres (050)",782,3,13,4,745,1,,5,,11
"De 65 y más años (051)",1010,,171,20,720,51,,11,,37
"Hombres (052)",317,,112,12,154,15,,6,,18
"Mujeres (053)",693,,59,8,566,36,,5,,19
