"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TOCACHE (000)",68768,34110,34658
"Casa independiente (001)",52925,30268,22657
"Departamento en edificio (002)",158,158,
"Vivienda en quinta (003)",2498,2498,
"Vivienda en casa de vecindad (004)",948,948,
"Choza o cabaña (005)",11960,,11960
"Vivienda improvisada (006)",156,156,
"Local no dest.para hab. humana (007)",98,68,30
"Otro tipo (008)",25,14,11
