"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia UCAYALI (000)",61017,33098,27919
"Casa independiente (001)",48769,32163,16606
"Departamento en edificio (002)",29,29,
"Vivienda en quinta (003)",563,563,
"Vivienda en casa de vecindad (004)",79,79,
"Choza o cabaña (005)",11297,,11297
"Vivienda improvisada (006)",207,207,
"Local no dest.para hab. humana (007)",64,54,10
"Otro tipo (008)",9,3,6
