"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia MOHO (000)",27819,13647,14172,7950,4086,3864,19869,9561,10308
"Menores de 1 año (001)",436,225,211,112,53,59,324,172,152
"Menores de 1 mes (002)",38,16,22,16,8,8,22,8,14
"De 1 a 11 meses (003)",398,209,189,96,45,51,302,164,138
"De 1 a 4 años (004)",1988,994,994,584,293,291,1404,701,703
"1 año (005)",439,217,222,121,63,58,318,154,164
"2 años (006)",497,222,275,157,70,87,340,152,188
"3 años (007)",507,259,248,152,81,71,355,178,177
"4 años (008)",545,296,249,154,79,75,391,217,174
"De 5 a 9 años (009)",2943,1475,1468,879,427,452,2064,1048,1016
"5 años (010)",543,285,258,178,86,92,365,199,166
"6 años (011)",548,270,278,168,85,83,380,185,195
"7 años (012)",584,287,297,170,76,94,414,211,203
"8 años (013)",659,329,330,181,92,89,478,237,241
"9 años (014)",609,304,305,182,88,94,427,216,211
"De 10 a 14 años (015)",3532,1862,1670,1049,560,489,2483,1302,1181
"10 años (016)",746,392,354,259,131,128,487,261,226
"11 años (017)",636,321,315,174,85,89,462,236,226
"12 años (018)",780,431,349,222,123,99,558,308,250
"13 años (019)",681,356,325,200,111,89,481,245,236
"14 años (020)",689,362,327,194,110,84,495,252,243
"De 15 a 19 años (021)",2600,1367,1233,924,494,430,1676,873,803
"15 años (022)",702,363,339,257,129,128,445,234,211
"16 años (023)",610,336,274,214,126,88,396,210,186
"17 años (024)",536,297,239,198,115,83,338,182,156
"18 años (025)",397,193,204,123,59,64,274,134,140
"19 años (026)",355,178,177,132,65,67,223,113,110
"De 20 a 24 años (027)",1623,813,810,503,267,236,1120,546,574
"20 años (028)",413,212,201,143,73,70,270,139,131
"21 años (029)",280,142,138,88,48,40,192,94,98
"22 años (030)",331,157,174,95,46,49,236,111,125
"23 años (031)",287,147,140,83,48,35,204,99,105
"24 años (032)",312,155,157,94,52,42,218,103,115
"De 25 a 29 años (033)",1425,664,761,539,260,279,886,404,482
"25 años (034)",333,159,174,148,74,74,185,85,100
"26 años (035)",283,132,151,111,53,58,172,79,93
"27 años (036)",317,139,178,101,46,55,216,93,123
"28 años (037)",265,138,127,103,57,46,162,81,81
"29 años (038)",227,96,131,76,30,46,151,66,85
"De 30 a 34 años (039)",1498,713,785,511,249,262,987,464,523
"30 años (040)",415,204,211,163,79,84,252,125,127
"31 años (041)",219,103,116,59,28,31,160,75,85
"32 años (042)",303,144,159,109,53,56,194,91,103
"33 años (043)",300,145,155,99,51,48,201,94,107
"34 años (044)",261,117,144,81,38,43,180,79,101
"De 35 a 39 años (045)",1466,690,776,505,239,266,961,451,510
"35 años (046)",332,153,179,118,46,72,214,107,107
