"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia ACOMAYO (000)",7488,33,382,87,80,401,3429,179,316,2263,29,289
"Agric., ganadería, caza y silvicultura (001)",5132,,3,14,,,3427,1,4,1683,,
"Pesca (002)",2,,,,,,2,,,,,
"Explotación de minas y canteras (003)",14,,,,,,,3,,11,,
"Industrias manufactureras (004)",167,,3,2,,1,,147,11,3,,
"Suministro de electricidad, gas y agua (005)",14,,,1,1,,,1,,11,,
"Construcción (006)",440,,3,1,1,,,1,192,242,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",404,,1,8,,312,,21,3,59,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",15,,,1,,2,,11,1,,,
"Comercio al por mayor (009)",18,,,,,18,,,,,,
"Comercio al por menor (010)",371,,1,7,,292,,10,2,59,,
"Hoteles y restaurantes (011)",134,,,3,1,72,,,,58,,
"Trans., almac. y comunicaciones (012)",92,,3,1,5,1,,,65,17,,
"Intermediación financiera (013)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",48,,12,7,8,8,,1,3,9,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",219,27,15,9,49,1,,3,6,80,29,
"Enseñanza (016)",325,6,310,1,3,,,,1,4,,
"Servicios sociales y de salud (017)",59,,29,25,2,1,,1,,1,,
"Otras activ. serv.comun.soc y personales (018)",75,,3,13,7,5,,,31,16,,
"Hogares privados con servicio doméstico (019)",69,,,,,,,,,69,,
"Actividad economica no especificada (021)",293,,,2,2,,,,,,,289
"Hombres (022)",5009,28,223,50,47,129,2743,153,306,1194,29,107
"Agric., ganadería, caza y silvicultura (023)",3553,,3,14,,,2741,1,4,790,,
"Pesca (024)",2,,,,,,2,,,,,
"Explotación de minas y canteras (025)",13,,,,,,,3,,10,,
"Industrias manufactureras (026)",137,,3,1,,,,124,8,1,,
"Suministro de electricidad, gas y agua (027)",12,,,1,1,,,1,,9,,
"Construcción (028)",417,,3,1,1,,,1,187,224,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",167,,,5,,112,,19,3,28,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",13,,,,,2,,10,1,,,
"Comercio al por mayor (031)",5,,,,,5,,,,,,
"Comercio al por menor (032)",149,,,5,,105,,9,2,28,,
"Hoteles y restaurantes (033)",11,,,,,5,,,,6,,
"Trans., almac. y comunicaciones (034)",86,,2,1,2,1,,,65,15,,
"Intermediación financiera (035)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",37,,11,6,2,7,,1,3,7,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",190,24,12,6,35,1,,3,6,74,29,
"Enseñanza (038)",193,4,181,,3,,,,1,4,,
"Servicios sociales y de salud (039)",11,,5,5,,,,,,1,,
"Otras activ. serv.comun.soc y personales (040)",55,,3,10,2,3,,,29,8,,
"Hogares privados con servicio doméstico (041)",17,,,,,,,,,17,,
"Actividad economica no especificada (043)",107,,,,,,,,,,,107
"Mujeres (044)",2479,5,159,37,33,272,686,26,10,1069,,182
"Agric., ganadería, caza y silvicultura (045)",1579,,,,,,686,,,893,,
"Explotación de minas y canteras (047)",1,,,,,,,,,1,,
"Industrias manufactureras (048)",30,,,1,,1,,23,3,2,,
"Suministro de electricidad, gas y agua (049)",2,,,,,,,,,2,,
"Construcción (050)",23,,,,,,,,5,18,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",237,,1,3,,200,,2,,31,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",2,,,1,,,,1,,,,
"Comercio al por mayor (053)",13,,,,,13,,,,,,
"Comercio al por menor (054)",222,,1,2,,187,,1,,31,,
"Hoteles y restaurantes (055)",123,,,3,1,67,,,,52,,
"Trans., almac. y comunicaciones (056)",6,,1,,3,,,,,2,,
"Activid.inmobil., empres. y alquileres (058)",11,,1,1,6,1,,,,2,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",29,3,3,3,14,,,,,6,,
"Enseñanza (060)",132,2,129,1,,,,,,,,
"Servicios sociales y de salud (061)",48,,24,20,2,1,,1,,,,
"Otras activ. serv.comun.soc y personales (062)",20,,,3,5,2,,,2,8,,
"Hogares privados con servicio doméstico (063)",52,,,,,,,,,52,,
"Actividad economica no especificada (065)",186,,,2,2,,,,,,,182
,,,,,,,,,,,,
