"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia MELGAR (000)",24033,3129,3571,11476,333,5329,195
"Sin nivel (001)",2603,23,346,1268,36,911,19
"Educación inicial (002)",16,,1,4,,11,
"Primaria (003)",9140,127,1353,4967,117,2489,87
"Secundaria (004)",7702,546,1454,3852,112,1662,76
"Superior no univ. incompleta (005)",866,239,134,386,17,81,9
"Superior no univ. completa (006)",1690,896,169,502,19,102,2
"Superior univ. incompleta (007)",509,212,49,205,9,32,2
"Superior univ. completa (008)",1507,1086,65,292,23,41,
"Hombres (010)",14144,2052,2620,7402,217,1818,35
"Sin nivel (011)",755,3,104,480,10,153,5
"Educación inicial (012)",5,,1,3,,1,
"Primaria (013)",4911,66,840,3245,79,669,12
"Secundaria (014)",5385,397,1288,2749,81,855,15
"Superior no univ. incompleta (015)",597,179,121,243,13,39,2
"Superior no univ. completa (016)",1071,531,160,314,10,56,
"Superior univ. incompleta (017)",376,162,48,139,6,20,1
"Superior univ. completa (018)",1044,714,58,229,18,25,
"Mujeres (020)",9889,1077,951,4074,116,3511,160
"Sin nivel (021)",1848,20,242,788,26,758,14
"Educación inicial (022)",11,,,1,,10,
"Primaria (023)",4229,61,513,1722,38,1820,75
"Secundaria (024)",2317,149,166,1103,31,807,61
"Superior no univ. incompleta (025)",269,60,13,143,4,42,7
"Superior no univ. completa (026)",619,365,9,188,9,46,2
"Superior univ. incompleta (027)",133,50,1,66,3,12,1
"Superior univ. completa (028)",463,372,7,63,5,16,
,,,,,,,
"URBANA (030)",10167,2577,1383,5025,169,880,133
"Sin nivel (031)",585,19,47,387,12,112,8
"Educación inicial (032)",3,,,2,,1,
"Primaria (033)",2545,95,386,1675,36,294,59
"Secundaria (034)",3495,412,718,1882,71,358,54
"Superior no univ. incompleta (035)",639,196,87,297,14,37,8
"Superior no univ. completa (036)",1336,796,82,400,15,41,2
"Superior univ. incompleta (037)",397,182,33,159,7,14,2
"Superior univ. completa (038)",1167,877,30,223,14,23,
"Hombres (040)",5997,1614,1169,2749,106,337,22
"Sin nivel (041)",143,3,21,92,3,23,1
"Educación inicial (042)",2,,,1,,1,
"Primaria (043)",1287,43,295,830,21,91,7
"Secundaria (044)",2324,294,640,1158,48,173,11
"Superior no univ. incompleta (045)",411,139,77,169,10,14,2
"Superior no univ. completa (046)",786,450,77,233,9,17,
"Superior univ. incompleta (047)",283,138,32,102,4,6,1
"Superior univ. completa (048)",761,547,27,164,11,12,
"Mujeres (050)",4170,963,214,2276,63,543,111
"Sin nivel (051)",442,16,26,295,9,89,7
"Educación inicial (052)",1,,,1,,,
"Primaria (053)",1258,52,91,845,15,203,52
"Secundaria (054)",1171,118,78,724,23,185,43
"Superior no univ. incompleta (055)",228,57,10,128,4,23,6
"Superior no univ. completa (056)",550,346,5,167,6,24,2
"Superior univ. incompleta (057)",114,44,1,57,3,8,1
"Superior univ. completa (058)",406,330,3,59,3,11,
,,,,,,,
"RURAL (060)",13866,552,2188,6451,164,4449,62
"Sin nivel (061)",2018,4,299,881,24,799,11
"Educación inicial (062)",13,,1,2,,10,
"Primaria (063)",6595,32,967,3292,81,2195,28
"Secundaria (064)",4207,134,736,1970,41,1304,22
"Superior no univ. incompleta (065)",227,43,47,89,3,44,1
"Superior no univ. completa (066)",354,100,87,102,4,61,
"Superior univ. incompleta (067)",112,30,16,46,2,18,
"Superior univ. completa (068)",340,209,35,69,9,18,
"Hombres (070)",8147,438,1451,4653,111,1481,13
"Sin nivel (071)",612,,83,388,7,130,4
"Educación inicial (072)",3,,1,2,,,
"Primaria (073)",3624,23,545,2415,58,578,5
"Secundaria (074)",3061,103,648,1591,33,682,4
"Superior no univ. incompleta (075)",186,40,44,74,3,25,
"Superior no univ. completa (076)",285,81,83,81,1,39,
"Superior univ. incompleta (077)",93,24,16,37,2,14,
"Superior univ. completa (078)",283,167,31,65,7,13,
"Mujeres (080)",5719,114,737,1798,53,2968,49
"Sin nivel (081)",1406,4,216,493,17,669,7
"Educación inicial (082)",10,,,,,10,
"Primaria (083)",2971,9,422,877,23,1617,23
"Secundaria (084)",1146,31,88,379,8,622,18
"Superior no univ. incompleta (085)",41,3,3,15,,19,1
"Superior no univ. completa (086)",69,19,4,21,3,22,
"Superior univ. incompleta (087)",19,6,,9,,4,
"Superior univ. completa (088)",57,42,4,4,2,5,
