"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia MELGAR (000)",54098,9557,10238,9896,8615,6029,9763
"Conviviente (001)",14440,172,2847,5570,3555,1323,973
"Separado(a) (002)",1657,17,193,411,424,250,362
"Casado(a) (003)",14363,29,172,1468,3622,3627,5445
"Viudo(a) (004)",3173,1,11,76,237,420,2428
"Divorciado(a) (005)",188,,11,18,39,42,78
"Soltero(a) (006)",20277,9338,7004,2353,738,367,477
"Hombres (008)",25996,4774,4988,4651,4122,2949,4512
"Conviviente (009)",6983,75,1008,2674,1925,750,551
"Separado(a) (010)",269,3,12,52,63,53,86
"Casado(a) (011)",7223,12,62,581,1710,1880,2978
"Viudo(a) (012)",862,1,1,14,58,92,696
"Divorciado(a) (013)",61,,4,3,14,15,25
"Soltero(a) (014)",10598,4683,3901,1327,352,159,176
"Mujeres (016)",28102,4783,5250,5245,4493,3080,5251
"Conviviente (017)",7457,97,1839,2896,1630,573,422
"Separado(a) (018)",1388,14,181,359,361,197,276
"Casado(a) (019)",7140,17,110,887,1912,1747,2467
"Viudo(a) (020)",2311,,10,62,179,328,1732
"Divorciado(a) (021)",127,,7,15,25,27,53
"Soltero(a) (022)",9679,4655,3103,1026,386,208,301
,,,,,,,
"URBANA (024)",26062,4921,5161,4988,4338,2734,3920
"Conviviente (025)",7406,95,1352,2871,2006,669,413
"Separado(a) (026)",926,11,95,227,254,158,181
"Casado(a) (027)",5773,14,70,643,1569,1503,1974
"Viudo(a) (028)",1466,1,6,44,113,194,1108
"Divorciado(a) (029)",83,,6,7,13,24,33
"Soltero(a) (030)",10408,4800,3632,1196,383,186,211
"Hombres (032)",12337,2460,2522,2277,2026,1333,1719
"Conviviente (033)",3506,43,478,1303,1067,390,225
"Separado(a) (034)",149,3,7,34,29,38,38
"Casado(a) (035)",2854,8,26,223,727,788,1082
"Viudo(a) (036)",357,1,1,11,21,34,289
"Divorciado(a) (037)",26,,3,2,5,4,12
"Soltero(a) (038)",5445,2405,2007,704,177,79,73
"Mujeres (040)",13725,2461,2639,2711,2312,1401,2201
"Conviviente (041)",3900,52,874,1568,939,279,188
"Separado(a) (042)",777,8,88,193,225,120,143
"Casado(a) (043)",2919,6,44,420,842,715,892
"Viudo(a) (044)",1109,,5,33,92,160,819
"Divorciado(a) (045)",57,,3,5,8,20,21
"Soltero(a) (046)",4963,2395,1625,492,206,107,138
,,,,,,,
"RURAL (048)",28036,4636,5077,4908,4277,3295,5843
"Conviviente (049)",7034,77,1495,2699,1549,654,560
"Separado(a) (050)",731,6,98,184,170,92,181
"Casado(a) (051)",8590,15,102,825,2053,2124,3471
"Viudo(a) (052)",1707,,5,32,124,226,1320
"Divorciado(a) (053)",105,,5,11,26,18,45
"Soltero(a) (054)",9869,4538,3372,1157,355,181,266
"Hombres (056)",13659,2314,2466,2374,2096,1616,2793
"Conviviente (057)",3477,32,530,1371,858,360,326
"Separado(a) (058)",120,,5,18,34,15,48
"Casado(a) (059)",4369,4,36,358,983,1092,1896
"Viudo(a) (060)",505,,,3,37,58,407
"Divorciado(a) (061)",35,,1,1,9,11,13
"Soltero(a) (062)",5153,2278,1894,623,175,80,103
"Mujeres (064)",14377,2322,2611,2534,2181,1679,3050
"Conviviente (065)",3557,45,965,1328,691,294,234
"Separado(a) (066)",611,6,93,166,136,77,133
"Casado(a) (067)",4221,11,66,467,1070,1032,1575
"Viudo(a) (068)",1202,,5,29,87,168,913
"Divorciado(a) (069)",70,,4,10,17,7,32
"Soltero(a) (070)",4716,2260,1478,534,180,101,163
