"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",49440,13334,14159,10558,7339,4050
"Sin nivel (001)",7095,612,737,1563,2068,2115
"Educación inicial (002)",695,675,13,7,,
"Primaria (003)",26415,10303,5934,4824,3670,1684
"Secundaria (004)",9662,1744,5134,1886,800,98
"Superior no univ. incompleta (005)",1540,,959,434,118,29
"Superior no univ. completa (006)",2308,,925,980,343,60
"Superior univ. incompleta (007)",500,,191,225,74,10
"Superior univ. completa (008)",1225,,266,639,266,54
"PEA (010)",16469,258,5757,5851,3424,1179
"Sin nivel (011)",1564,28,185,470,508,373
"Educación inicial (012)",9,1,6,2,,
"Primaria (013)",7378,192,2466,2260,1757,703
"Secundaria (014)",3596,37,1741,1260,516,42
"Superior no univ. incompleta (015)",761,,341,319,89,12
"Superior no univ. completa (016)",1804,,705,808,265,26
"Superior univ. incompleta (017)",337,,84,188,61,4
"Superior univ. completa (018)",1020,,229,544,228,19
"Ocupada (020)",15421,232,5199,5547,3297,1146
"Sin nivel (021)",1496,26,165,454,491,360
"Educación inicial (022)",9,1,6,2,,
"Primaria (023)",6840,170,2217,2091,1678,684
"Secundaria (024)",3324,35,1558,1192,497,42
"Superior no univ. incompleta (025)",721,,315,306,88,12
"Superior no univ. completa (026)",1714,,647,782,260,25
"Superior univ. incompleta (027)",321,,74,184,59,4
"Superior univ. completa (028)",996,,217,536,224,19
"Desocupada (030)",1048,26,558,304,127,33
