"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Sin nivel (110)",1792,9233,8164,29,88.4,0.3,
"De 12 a 14 años (111)",8,,,,,,
"De 15 a 19 años (112)",25,16,16,2,100,12.5,
"De 20 a 24 años (113)",35,29,29,1,100,3.4,
"De 25 a 29 años (114)",50,82,82,7,100,8.5,
"De 30 a 34 años (115)",69,190,187,6,98.4,3.2,
"De 35 a 39 años (116)",119,396,382,9,96.5,2.3,
"De 40 a 44 años (117)",133,492,473,3,96.1,0.6,
"De 45 a 49 años (118)",156,701,646,1,92.2,0.1,
"De 50 y más años (119)",1197,7327,6349,,86.7,,
"Educacion Inicial (120)",25,15,15,,100,,
"De 12 a 14 años (121)",6,,,,,,
"De 15 a 19 años (122)",5,1,1,,100,,
"De 20 a 24 años (123)",6,1,1,,100,,
"De 25 a 29 años (124)",4,2,2,,100,,
"De 30 a 34 años (125)",3,6,6,,100,,
"De 35 a 39 años (126)",1,5,5,,100,,
"Primaria (130)",3805,11079,10330,101,93.2,0.9,
"De 12 a 14 años (131)",379,2,2,1,100,50,
"De 15 a 19 años (132)",225,61,61,17,100,27.9,
"De 20 a 24 años (133)",272,219,211,12,96.3,5.5,
"De 25 a 29 años (134)",346,525,514,26,97.9,5,
"De 30 a 34 años (135)",346,744,729,19,98,2.6,
"De 35 a 39 años (136)",400,1204,1161,17,96.4,1.4,
"De 40 a 44 años (137)",356,1137,1103,9,97,0.8,
"De 45 a 49 años (138)",382,1497,1424,,95.1,,
"De 50 y más años (139)",1099,5690,5125,,90.1,,
"Secundaria (140)",4278,4559,4458,157,97.8,3.4,
"De 12 a 14 años (141)",697,2,2,,100,,
"De 15 a 19 años (142)",1288,101,101,30,100,29.7,
"De 20 a 24 años (143)",492,325,323,46,99.4,14.2,
"De 25 a 29 años (144)",457,607,600,33,98.8,5.4,
"De 30 a 34 años (145)",351,672,665,28,99,4.2,
"De 35 a 39 años (146)",309,780,765,16,98.1,2.1,
"De 40 a 44 años (147)",231,609,594,3,97.5,0.5,
"De 45 a 49 años (148)",177,491,480,1,97.8,0.2,
"De 50 y más años (149)",276,972,928,,95.5,,
"Sup. no Univ. incompleta (150)",527,540,529,23,98,4.3,
"De 15 a 19 años (152)",94,8,8,5,100,62.5,
"De 20 a 24 años (153)",164,45,44,4,97.8,8.9,
"De 25 a 29 años (154)",71,66,66,5,100,7.6,
"De 30 a 34 años (155)",67,103,102,5,99,4.9,
"De 35 a 39 años (156)",57,129,128,1,99.2,0.8,
"De 40 a 44 años (157)",35,81,79,3,97.5,3.7,
"De 45 a 49 años (158)",20,52,51,,98.1,,
"De 50 y más años (159)",19,56,51,,91.1,,
"Sup. no Univ. completa (160)",1116,1754,1717,62,97.9,3.5,
"De 20 a 24 años (163)",115,60,56,9,93.3,15,
"De 25 a 29 años (164)",233,174,174,20,100,11.5,
"De 30 a 34 años (165)",207,245,243,15,99.2,6.1,
"De 35 a 39 años (166)",221,413,409,17,99,4.1,
"De 40 a 44 años (167)",138,299,294,1,98.3,0.3,
"De 45 a 49 años (168)",95,226,222,,98.2,,
"De 50 y más años (169)",107,337,319,,94.7,,
"Sup. Univ. incompleta (170)",407,318,311,15,97.8,4.7,
"De 15 a 19 años (172)",86,5,5,1,100,20,
"De 20 a 24 años (173)",153,40,40,8,100,20,
"De 25 a 29 años (174)",51,27,27,3,100,11.1,
"De 30 a 34 años (175)",30,42,42,2,100,4.8,
"De 35 a 39 años (176)",31,61,60,,98.4,,
"De 40 a 44 años (177)",21,52,52,1,100,1.9,
"De 45 a 49 años (178)",15,32,31,,96.9,,
"De 50 y más años (179)",20,59,54,,91.5,,
"Sup. Univ. completa (180)",1009,1489,1461,48,98.1,3.2,
"De 20 a 24 años (183)",79,27,27,7,100,25.9,
"De 25 a 29 años (184)",200,139,138,11,99.3,7.9,
"De 30 a 34 años (185)",196,204,202,11,99,5.4,
"De 35 a 39 años (186)",178,312,310,14,99.4,4.5,
"De 40 a 44 años (187)",144,318,315,4,99.1,1.3,
"De 45 a 49 años (188)",104,211,202,1,95.7,0.5,
"De 50 y más años (189)",108,278,267,,96,,
,,,,,,,
"RURAL (200)",48484,141053,127832,2251,90.6,1.6,
"De 12 a 14 años (201)",5059,20,20,2,100,10,
"De 15 a 19 años (202)",6266,969,946,247,97.6,25.5,
"De 20 a 24 años (203)",5312,4604,4500,564,97.7,12.3,
"De 25 a 29 años (204)",4754,7872,7702,517,97.8,6.6,
"De 30 a 34 años (205)",4335,10544,10204,421,96.8,4,
"De 35 a 39 años (206)",4303,13801,13244,313,96,2.3,
"De 40 a 44 años (207)",3468,14139,13372,150,94.6,1.1,
"De 45 a 49 años (208)",3016,14404,13467,37,93.5,0.3,
"De 50 y más años (209)",11971,74700,64377,,86.2,,
"Sin nivel (210)",15698,79119,69528,426,87.9,0.5,
"De 12 a 14 años (211)",83,1,1,,100,,
"De 15 a 19 años (212)",244,84,83,14,98.8,16.7,
"De 20 a 24 años (213)",463,483,464,47,96.1,9.7,
"De 25 a 29 años (214)",702,1318,1281,84,97.2,6.4,
"De 30 a 34 años (215)",897,2274,2195,91,96.5,4,
"De 35 a 39 años (216)",1415,4611,4406,102,95.6,2.2,
"De 40 a 44 años (217)",1498,6385,5993,71,93.9,1.1,
"De 45 a 49 años (218)",1577,7620,7071,17,92.8,0.2,
"De 50 y más años (219)",8819,56343,48034,,85.3,,
"Educacion Inicial (220)",59,87,85,3,97.7,3.4,
"De 12 a 14 años (221)",5,,,,,,
"De 15 a 19 años (222)",8,3,3,1,100,33.3,
"De 20 a 24 años (223)",12,13,12,,92.3,,
"De 25 a 29 años (224)",14,27,27,1,100,3.7,
"De 30 a 34 años (225)",14,28,28,1,100,3.6,
"De 35 a 39 años (226)",6,16,15,,93.8,,
"Primaria (230)",23761,56145,52668,1456,93.8,2.6,
"De 12 a 14 años (231)",3034,10,10,2,100,20,
"De 15 a 19 años (232)",2952,631,617,166,97.8,26.3,
"De 20 a 24 años (233)",3284,3133,3057,382,97.6,12.2,
"De 25 a 29 años (234)",3038,5331,5216,341,97.8,6.4,
"De 30 a 34 años (235)",2753,7028,6800,275,96.8,3.9,
"De 35 a 39 años (236)",2537,8348,8018,195,96,2.3,
"De 40 a 44 años (237)",1800,7288,6932,76,95.1,1,
"De 45 a 49 años (238)",1325,6453,6077,19,94.2,0.3,
"De 50 y más años (239)",3038,17923,15941,,88.9,,
"Secundaria (240)",8158,5083,4943,333,97.2,6.6,
"De 12 a 14 años (241)",1937,9,9,,100,,
"De 15 a 19 años (242)",2958,248,240,65,96.8,26.2,
"De 20 a 24 años (243)",1312,912,904,120,99.1,13.2,
"De 25 a 29 años (244)",813,1079,1061,81,98.3,7.5,
"De 30 a 34 años (245)",549,1092,1060,49,97.1,4.5,
"De 35 a 39 años (246)",275,727,710,14,97.7,1.9,
"De 40 a 44 años (247)",130,389,371,3,95.4,0.8,
"De 45 a 49 años (248)",92,282,270,1,95.7,0.4,
"De 50 y más años (249)",92,345,318,,92.2,,
"Sup. no Univ. incompleta (250)",287,144,143,9,99.3,6.3,
"De 15 a 19 años (252)",78,1,1,1,100,100,
"De 20 a 24 años (253)",112,22,22,4,100,18.2,
"De 25 a 29 años (254)",40,27,27,4,100,14.8,
"De 30 a 34 años (255)",25,32,32,,100,,
"De 35 a 39 años (256)",17,24,23,,95.8,,
"De 40 a 44 años (257)",11,23,23,,100,,
"De 45 a 49 años (258)",1,3,3,,100,,
"De 50 y más años (259)",3,12,12,,100,,
"Sup. no Univ. completa (260)",280,277,273,16,98.6,5.8,
"De 20 a 24 años (263)",63,25,25,9,100,36,
