"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHANCHAMAYO (000)",48686,25159,23527
"Casa independiente (001)",36953,21715,15238
"Departamento en edificio (002)",649,649,
"Vivienda en quinta (003)",1084,1084,
"Vivienda en casa de vecindad (004)",1110,1110,
"Choza o cabaña (005)",8266,,8266
"Vivienda improvisada (006)",487,487,
"Local no dest.para hab. humana (007)",103,87,16
"Otro tipo (008)",34,27,7
