"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PAITA (000)",34602,20193,4810,3344,6255
"Agric., ganadería, caza y silvicultura (001)",5342,4405,457,242,238
"Pesca (002)",5117,2472,1794,392,459
"Explotación de minas y canteras (003)",81,6,,14,61
"Industrias manufactureras (004)",6080,1631,617,953,2879
"Suministro de electricidad, gas y agua (005)",108,40,9,37,22
"Construcción (006)",1557,984,288,194,91
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",4766,4187,330,139,110
"Venta, mant.y rep. veh.autom y motoc. (008)",471,328,72,38,33
"Comercio al por mayor (009)",447,252,55,63,77
"Comercio al por menor (010)",3848,3607,203,38,
"Hoteles y restaurantes (011)",1167,972,115,46,34
"Trans., almac. y comunicaciones (012)",3880,2733,499,378,270
"Intermediación financiera (013)",67,20,12,16,19
"Activid.inmobil., empres. y alquileres (014)",1567,644,248,306,369
"Admin.pub. y defensa; p. segur soc.afil (015)",1184,,,,1184
"Enseñanza (016)",1090,278,219,438,155
"Servicios sociales y de salud (017)",286,92,16,24,154
"Otras activ. serv.comun.soc y personales (018)",877,545,126,107,99
"Hogares privados con servicio doméstico (019)",607,607,,,
"Actividad economica no especificada (021)",826,577,80,58,111
"Hombres (022)",25894,15022,4244,2464,4164
"Agric., ganadería, caza y silvicultura (023)",5156,4284,443,229,200
"Pesca (024)",4928,2425,1765,361,377
"Explotación de minas y canteras (025)",80,6,,14,60
"Industrias manufactureras (026)",4218,1345,543,602,1728
"Suministro de electricidad, gas y agua (027)",95,38,8,30,19
"Construcción (028)",1520,975,284,177,84
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2457,2014,245,112,86
"Venta, mant.y rep. veh.autom y motoc. (030)",434,303,66,33,32
"Comercio al por mayor (031)",281,132,41,54,54
"Comercio al por menor (032)",1742,1579,138,25,
"Hoteles y restaurantes (033)",296,198,53,18,27
"Trans., almac. y comunicaciones (034)",3676,2616,469,351,240
"Intermediación financiera (035)",29,8,5,9,7
"Activid.inmobil., empres. y alquileres (036)",1247,483,214,253,297
"Admin.pub. y defensa; p. segur soc.afil (037)",783,,,,783
"Enseñanza (038)",359,56,56,185,62
"Servicios sociales y de salud (039)",98,30,5,7,56
"Otras activ. serv.comun.soc y personales (040)",582,326,105,83,68
