"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CELENDIN (000)",82653,4389,10534,12451,9023,13303,10488,16125,6340
"Sabe leer y escribir (001)",64125,,6925,12187,8657,11958,8790,12071,3537
"No sabe leer y escribir (002)",18528,4389,3609,264,366,1345,1698,4054,2803
"Hombres (004)",40538,2177,5255,6367,4550,6400,4989,7815,2985
"Sabe leer y escribir (005)",33807,,3476,6254,4421,6061,4550,6808,2237
"No sabe leer y escribir (006)",6731,2177,1779,113,129,339,439,1007,748
"Mujeres (008)",42115,2212,5279,6084,4473,6903,5499,8310,3355
"Sabe leer y escribir (009)",30318,,3449,5933,4236,5897,4240,5263,1300
"No sabe leer y escribir (010)",11797,2212,1830,151,237,1006,1259,3047,2055
,,,,,,,,,
"URBANA (012)",20887,883,2102,2769,2353,3673,2743,4464,1900
"Sabe leer y escribir (013)",18246,,1593,2741,2326,3578,2595,3986,1427
"No sabe leer y escribir (014)",2641,883,509,28,27,95,148,478,473
"Hombres (016)",10031,450,1035,1426,1164,1728,1259,2086,883
"Sabe leer y escribir (017)",9031,,794,1416,1157,1701,1213,1981,769
"No sabe leer y escribir (018)",1000,450,241,10,7,27,46,105,114
"Mujeres (020)",10856,433,1067,1343,1189,1945,1484,2378,1017
"Sabe leer y escribir (021)",9215,,799,1325,1169,1877,1382,2005,658
"No sabe leer y escribir (022)",1641,433,268,18,20,68,102,373,359
,,,,,,,,,
"RURAL (024)",61766,3506,8432,9682,6670,9630,7745,11661,4440
"Sabe leer y escribir (025)",45879,,5332,9446,6331,8380,6195,8085,2110
"No sabe leer y escribir (026)",15887,3506,3100,236,339,1250,1550,3576,2330
"Hombres (028)",30507,1727,4220,4941,3386,4672,3730,5729,2102
"Sabe leer y escribir (029)",24776,,2682,4838,3264,4360,3337,4827,1468
"No sabe leer y escribir (030)",5731,1727,1538,103,122,312,393,902,634
"Mujeres (032)",31259,1779,4212,4741,3284,4958,4015,5932,2338
"Sabe leer y escribir (033)",21103,,2650,4608,3067,4020,2858,3258,642
"No sabe leer y escribir (034)",10156,1779,1562,133,217,938,1157,2674,1696
