"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BAGUA (000)",24147,23340,7041,3225,3014,2428,3353,2035,1290,954,807,66104
"De 12 a 14 años (001)",2728,2699,2680,16,3,,,,,,29,22
"De 15 a 19 años (002)",3533,3449,2722,567,134,18,8,,,,84,921
"De 20 a 24 años (003)",3078,2773,806,1013,613,245,85,11,,,305,3410
"De 25 a 29 años (004)",2828,2668,313,677,684,481,432,68,13,,160,5890
"De 30 a 34 años (005)",2358,2274,162,386,545,431,508,184,46,12,84,6658
"De 35 a 39 años (006)",2362,2314,106,214,427,459,605,336,124,43,48,8745
"De 40 a 44 años (007)",1854,1825,68,133,239,318,553,280,153,81,29,7993
"De 45 a 49 años (008)",1499,1486,48,69,172,211,413,288,173,112,13,7455
"De 50 y más años (009)",3907,3852,136,150,197,265,749,868,781,706,55,25010
"Conviviente (010)",9560,9353,757,1889,1735,1331,1742,999,551,349,207,31998
"De 12 a 14 años (011)",65,38,32,5,1,,,,,,27,7
"De 15 a 19 años (012)",911,842,282,430,108,15,7,,,,69,719
"De 20 a 24 años (013)",1695,1628,202,667,478,196,74,11,,,67,2598
"De 25 a 29 años (014)",1731,1715,84,396,464,355,345,59,12,,16,4349
"De 30 a 34 años (015)",1331,1321,41,182,315,257,339,140,38,9,10,4365
"De 35 a 39 años (016)",1206,1198,21,91,190,211,343,218,91,33,8,5118
"De 40 a 44 años (017)",865,862,18,56,80,136,269,160,96,47,3,4190
"De 45 a 49 años (018)",645,643,20,19,48,70,175,149,87,75,2,3642
"De 50 y más años (019)",1111,1106,57,43,51,91,190,262,227,185,5,7010
"Separado(a) (020)",1273,1251,27,364,245,163,241,118,57,36,22,4062
"De 12 a 14 años (021)",4,4,,4,,,,,,,,4
"De 15 a 19 años (022)",89,80,10,57,12,1,,,,,9,84
