"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ASCOPE (000)",2900,46,1459,897,436,62
"Conviviente (001)",609,1,244,260,95,9
"Separado(a) (002)",86,,23,41,18,4
"Casado(a) (003)",492,,58,204,194,36
"Viudo(a) (004)",20,,1,2,10,7
"Divorciado(a) (005)",8,,1,2,5,
"Soltero(a) (006)",1685,45,1132,388,114,6
"Hombres (008)",2211,32,1046,695,379,59
"Conviviente (009)",496,,181,219,87,9
"Separado(a) (010)",43,,6,20,13,4
"Casado(a) (011)",406,,37,162,171,36
"Viudo(a) (012)",13,,,1,7,5
"Divorciado(a) (013)",7,,,2,5,
"Soltero(a) (014)",1246,32,822,291,96,5
"Mujeres (016)",689,14,413,202,57,3
"Conviviente (017)",113,1,63,41,8,
"Separado(a) (018)",43,,17,21,5,
"Casado(a) (019)",86,,21,42,23,
"Viudo(a) (020)",7,,1,1,3,2
"Divorciado(a) (021)",1,,1,,,
"Soltero(a) (022)",439,13,310,97,18,1
,,,,,,
"AREA URBANA (024)",2696,40,1339,842,415,60
"Conviviente (025)",564,1,227,237,91,8
"Separado(a) (026)",79,,21,38,16,4
"Casado(a) (027)",474,,52,198,189,35
"Viudo(a) (028)",20,,1,2,10,7
"Divorciado(a) (029)",8,,1,2,5,
"Soltero(a) (030)",1551,39,1037,365,104,6
"Hombres (032)",2064,28,968,651,360,57
"Conviviente (033)",458,,167,200,83,8
"Separado(a) (034)",40,,6,19,11,4
"Casado(a) (035)",391,,33,157,166,35
"Viudo(a) (036)",13,,,1,7,5
"Divorciado(a) (037)",7,,,2,5,
"Soltero(a) (038)",1155,28,762,272,88,5
"Mujeres (040)",632,12,371,191,55,3
"Conviviente (041)",106,1,60,37,8,
"Separado(a) (042)",39,,15,19,5,
"Casado(a) (043)",83,,19,41,23,
"Viudo(a) (044)",7,,1,1,3,2
"Divorciado(a) (045)",1,,1,,,
"Soltero(a) (046)",396,11,275,93,16,1
,,,,,,
"AREA RURAL (048)",204,6,120,55,21,2
"Conviviente (049)",45,,17,23,4,1
"Separado(a) (050)",7,,2,3,2,
"Casado(a) (051)",18,,6,6,5,1
"Soltero(a) (054)",134,6,95,23,10,
"Hombres (056)",147,4,78,44,19,2
"Conviviente (057)",38,,14,19,4,1
"Separado(a) (058)",3,,,1,2,
"Casado(a) (059)",15,,4,5,5,1
"Soltero(a) (062)",91,4,60,19,8,
"Mujeres (064)",57,2,42,11,2,
"Conviviente (065)",7,,3,4,,
"Separado(a) (066)",4,,2,2,,
"Casado(a) (067)",3,,2,1,,
"Soltero(a) (070)",43,2,35,4,2,
