"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SAN ROMAN (000)",90010,3456,63,19847,35622,5207,7342,6064,12409
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",125,,,2,11,4,21,14,73
"Profes., científicos e intelectuales (002)",10071,,,,135,265,2038,498,7135
"Técnicos de nivel medio ytrab.asimilados (003)",3495,8,,102,684,438,926,622,715
"Jefes y empleados de oficina (004)",2573,,,20,491,266,488,424,884
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",19919,676,15,4740,8806,1346,1262,1589,1485
"Agricult.trabaj. calif.agrop. y pesquros (006)",5066,797,1,2484,1436,72,72,98,106
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",14071,482,12,2919,7173,999,990,918,578
"Obreros. construc., conf., papel, fab., instr (008)",10151,97,4,2110,5685,632,498,666,459
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",21578,1302,27,6971,10045,986,724,931,592
"Otra (010)",780,,,9,296,57,174,121,123
"Ocupación no especificada (011)",2181,94,4,490,860,142,149,183,259
"Hombres (012)",52209,793,23,9580,22743,3235,4238,3962,7635
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",100,,,2,8,2,15,11,62
"Profes., científicos e intelectuales (014)",6090,,,,85,161,1093,337,4414
"Técnicos de nivel medio ytrab.asimilados (015)",2231,1,,44,450,307,550,431,448
"Jefes y empleados de oficina (016)",1264,,,12,292,123,180,221,436
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",7323,73,4,1222,3509,563,474,780,698
"Agricult.trabaj. calif.agrop. y pesquros (018)",3276,276,,1626,1088,54,57,81,94
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",9627,93,6,1455,5325,764,792,734,458
"Obreros. construc., conf., papel, fab., instr (020)",9682,90,4,1999,5461,593,469,635,431
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",10852,254,7,3049,5801,524,358,527,332
"Otra (022)",757,,,9,290,56,170,111,121
"Ocupación no especificada (023)",1007,6,2,162,434,88,80,94,141
"Mujeres (024)",37801,2663,40,10267,12879,1972,3104,2102,4774
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",25,,,,3,2,6,3,11
"Profes., científicos e intelectuales (026)",3981,,,,50,104,945,161,2721
"Técnicos de nivel medio ytrab.asimilados (027)",1264,7,,58,234,131,376,191,267
"Jefes y empleados de oficina (028)",1309,,,8,199,143,308,203,448
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",12596,603,11,3518,5297,783,788,809,787
"Agricult.trabaj. calif.agrop. y pesquros (030)",1790,521,1,858,348,18,15,17,12
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",4444,389,6,1464,1848,235,198,184,120
"Obreros. construc., conf., papel, fab., instr (032)",469,7,,111,224,39,29,31,28
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",10726,1048,20,3922,4244,462,366,404,260
"Otra (034)",23,,,,6,1,4,10,2
"Ocupación no especificada (035)",1174,88,2,328,426,54,69,89,118
,,,,,,,,,
