"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SUCRE (000)",3714,2801,482,222,209
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",40,,4,4,32
"Profes., científicos e intelectuales (002)",516,164,185,139,28
"Técnicos de nivel medio y trab. asimilados (003)",60,22,7,5,26
"Jefes y empleados de oficina (004)",95,8,9,10,68
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",229,222,5,1,1
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1142,1096,46,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",105,80,15,9,1
"Obreros construc.,conf.,papel, fab., instr. (008)",86,65,13,1,7
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1249,1010,161,40,38
"Otra (010)",6,,,,6
"Ocupación no especificada (011)",186,134,37,13,2
"Hombres (012)",2581,1914,348,168,151
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",31,,3,4,24
"Profes., científicos e intelectuales (014)",304,77,114,95,18
"Técnicos de nivel medio y trab. asimilados (015)",43,17,6,5,15
"Jefes y empleados de oficina (016)",70,6,7,6,51
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",60,57,2,1,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",935,898,37,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",92,70,13,8,1
"Obreros construc.,conf.,papel, fab., instr. (020)",85,64,13,1,7
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",826,637,126,35,28
"Otra (022)",6,,,,6
"Ocupación no especificada (023)",129,88,27,13,1
"Mujeres (024)",1133,887,134,54,58
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",9,,1,,8
"Profes., científicos e intelectuales (026)",212,87,71,44,10
"Técnicos de nivel medio y trab. asimilados (027)",17,5,1,,11
"Jefes y empleados de oficina (028)",25,2,2,4,17
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",169,165,3,,1
"Agricult.trabaj.calif.agrop.y pesqueros (030)",207,198,9,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",13,10,2,1,
"Obreros construc.,conf.,papel, fab., instr. (032)",1,1,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",423,373,35,5,10
"Ocupación no especificada (035)",57,46,10,,1
,,,,,
