"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAMANGA (000)",71283,50321,7153,5863,7946
"Agric., ganadería, caza y silvicultura (001)",15217,13838,1019,280,80
"Pesca (002)",13,6,2,2,3
"Explotación de minas y canteras (003)",207,55,29,29,94
"Industrias manufactureras (004)",5124,4152,585,206,181
"Suministro de electricidad, gas y agua (005)",146,26,18,64,38
"Construcción (006)",4789,3086,714,591,398
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",14582,13391,875,283,33
"Venta, mant.y rep. veh.autom y motoc. (008)",1358,1139,188,23,8
"Comercio al por mayor (009)",756,546,105,80,25
"Comercio al por menor (010)",12468,11706,582,180,
"Hoteles y restaurantes (011)",3749,3235,389,106,19
"Trans., almac. y comunicaciones (012)",5182,4266,392,370,154
"Intermediación financiera (013)",398,70,64,163,101
"Activid.inmobil., empres. y alquileres (014)",3182,1601,474,648,459
"Admin.pub. y defensa; p. segur soc.afil (015)",3305,,,,3305
"Enseñanza (016)",6749,1232,1709,2459,1349
"Servicios sociales y de salud (017)",2169,498,133,127,1411
"Otras activ. serv.comun.soc y personales (018)",2205,1381,433,269,122
"Hogares privados con servicio doméstico (019)",1540,1540,,,
"Organiz. y organos extraterritoriales (020)",2,,1,1,
"Actividad economica no especificada (021)",2724,1944,316,265,199
"Hombres (022)",43379,30331,4580,3476,4992
"Agric., ganadería, caza y silvicultura (023)",11571,10545,790,179,57
"Pesca (024)",11,5,2,1,3
"Explotación de minas y canteras (025)",198,52,27,29,90
"Industrias manufactureras (026)",3820,3090,437,133,160
"Suministro de electricidad, gas y agua (027)",121,23,13,56,29
"Construcción (028)",4592,3024,689,500,379
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",5889,5234,469,164,22
"Venta, mant.y rep. veh.autom y motoc. (030)",1213,1015,171,19,8
"Comercio al por mayor (031)",416,291,62,49,14
"Comercio al por menor (032)",4260,3928,236,96,
"Hoteles y restaurantes (033)",1102,862,170,60,10
"Trans., almac. y comunicaciones (034)",4777,3980,337,327,133
"Intermediación financiera (035)",229,39,32,95,63
"Activid.inmobil., empres. y alquileres (036)",2253,1183,321,429,320
"Admin.pub. y defensa; p. segur soc.afil (037)",2281,,,,2281
"Enseñanza (038)",3125,446,784,1131,764
