"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia REQUENA (000)",14791,14210,60,2368,2403,2002,3186,2197,1410,584,581,59716
"De 12 a 14 años (001)",73,37,1,32,4,,,,,,36,40
"De 15 a 19 años (002)",1266,1123,16,826,242,34,5,,,,143,1432
"De 20 a 24 años (003)",2257,2080,14,791,772,377,117,9,,,177,4016
"De 25 a 29 años (004)",2099,2007,2,317,583,541,516,44,4,,92,5624
"De 30 a 34 años (005)",1834,1799,5,156,341,409,625,229,32,2,35,6551
"De 35 a 39 años (006)",1732,1710,4,74,181,241,665,393,135,17,22,7965
"De 40 a 44 años (007)",1338,1325,2,45,105,132,417,386,188,50,13,7141
"De 45 a 49 años (008)",1116,1113,2,30,60,100,269,333,239,80,3,6685
"De 50 y más años (009)",3076,3016,14,97,115,168,572,803,812,435,60,20262
"Sin nivel (010)",850,823,10,40,37,54,177,212,197,96,27,5175
"De 12 a 14 años (011)",2,2,,2,,,,,,,,2
"De 15 a 19 años (012)",16,14,,8,5,1,,,,,2,21
"De 20 a 24 años (013)",27,19,,6,6,3,4,,,,8,43
"De 25 a 29 años (014)",40,37,1,4,5,8,15,4,,,3,129
"De 30 a 34 años (015)",34,33,1,1,2,3,9,12,4,1,1,173
"De 35 a 39 años (016)",60,58,,1,2,1,13,22,15,4,2,370
"De 40 a 44 años (017)",38,38,,2,1,2,11,10,10,2,,236
"De 45 a 49 años (018)",41,41,,,1,4,7,10,10,9,,292
"De 50 y más años (019)",592,581,8,16,15,32,118,154,158,80,11,3909
"Educacion Inicial (020)",13,11,,,3,3,4,1,,,2,41
"De 15 a 19 años (022)",3,2,,,,2,,,,,1,6
"De 20 a 24 años (023)",5,4,,,1,1,1,1,,,1,16
