"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SANCHEZ CARRION (000)",124706,8235,18766,19554,13767,19622,15496,22008,7258
"Sabe leer y escribir (001)",84775,,10163,18595,12585,16157,11536,13186,2553
"No sabe leer y escribir (002)",39931,8235,8603,959,1182,3465,3960,8822,4705
"Hombres (004)",60498,4164,9404,9894,6744,9299,7190,10453,3350
"Sabe leer y escribir (005)",46367,,5109,9529,6448,8543,6345,8457,1936
"No sabe leer y escribir (006)",14131,4164,4295,365,296,756,845,1996,1414
"Mujeres (008)",64208,4071,9362,9660,7023,10323,8306,11555,3908
"Sabe leer y escribir (009)",38408,,5054,9066,6137,7614,5191,4729,617
"No sabe leer y escribir (010)",25800,4071,4308,594,886,2709,3115,6826,3291
,,,,,,,,,
"URBANA (012)",34141,1781,4297,5008,4274,5826,4689,6461,1805
"Sabe leer y escribir (013)",28060,,3133,4917,4172,5493,4224,5121,1000
"No sabe leer y escribir (014)",6081,1781,1164,91,102,333,465,1340,805
"Hombres (016)",16206,887,2108,2555,2092,2688,2101,2946,829
"Sabe leer y escribir (017)",14171,,1510,2508,2069,2626,2039,2773,646
"No sabe leer y escribir (018)",2035,887,598,47,23,62,62,173,183
"Mujeres (020)",17935,894,2189,2453,2182,3138,2588,3515,976
"Sabe leer y escribir (021)",13889,,1623,2409,2103,2867,2185,2348,354
"No sabe leer y escribir (022)",4046,894,566,44,79,271,403,1167,622
,,,,,,,,,
"RURAL (024)",90565,6454,14469,14546,9493,13796,10807,15547,5453
"Sabe leer y escribir (025)",56715,,7030,13678,8413,10664,7312,8065,1553
"No sabe leer y escribir (026)",33850,6454,7439,868,1080,3132,3495,7482,3900
"Hombres (028)",44292,3277,7296,7339,4652,6611,5089,7507,2521
"Sabe leer y escribir (029)",32196,,3599,7021,4379,5917,4306,5684,1290
"No sabe leer y escribir (030)",12096,3277,3697,318,273,694,783,1823,1231
"Mujeres (032)",46273,3177,7173,7207,4841,7185,5718,8040,2932
"Sabe leer y escribir (033)",24519,,3431,6657,4034,4747,3006,2381,263
"No sabe leer y escribir (034)",21754,3177,3742,550,807,2438,2712,5659,2669
