"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MAYNAS (000)",178635,3625,64586,61293,41995,7136
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",396,,34,148,192,22
"Profes., científicos e intelectuales (002)",15476,,2998,7673,4553,252
"Técnicos de nivel medio y trab.asimilados (003)",8849,5,3287,3370,1975,212
"Jefes y empleados de oficina (004)",8756,,3638,3147,1916,55
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",28515,392,9964,10060,6935,1164
"Agricult.trabaj. calif. agrop. y pesqueros (006)",21578,6,5422,7031,6627,2492
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",14332,135,5248,4831,3630,488
"Obreros construc., conf., papel, fab., instr. (008)",18194,56,6722,6893,4169,354
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",43095,2698,17960,12369,8490,1578
"Otra (010)",2019,,732,881,404,2
"Ocupación no especificada (011)",6926,88,2768,2229,1547,294
"Desocupado (012)",10499,245,5813,2661,1557,223
"Hombres (013)",115757,2220,42194,38702,27560,5081
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",264,,21,96,127,20
"Profes., científicos e intelectuales (015)",7708,,1373,3603,2538,194
"Técnicos de nivel medio y trab.asimilados (016)",5780,5,2059,2190,1358,168
"Jefes y empleados de oficina (017)",4449,,1649,1581,1175,44
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",13100,219,4902,4311,3062,606
"Agricult.trabaj. calif. agrop. y pesqueros (019)",19106,6,4633,6395,5930,2142
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",12211,130,4807,3998,2878,398
"Obreros construc., conf., papel, fab., instr. (021)",17644,48,6484,6705,4068,339
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",21912,1598,10120,5659,3743,792
"Otra (023)",1884,,632,860,390,2
"Ocupación no especificada (024)",4311,59,1693,1373,1005,181
"Desocupado (025)",7388,155,3821,1931,1286,195
"Mujeres (026)",62878,1405,22392,22591,14435,2055
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",132,,13,52,65,2
"Profes., científicos e intelectuales (028)",7768,,1625,4070,2015,58
"Técnicos de nivel medio y trab.asimilados (029)",3069,,1228,1180,617,44
"Jefes y empleados de oficina (030)",4307,,1989,1566,741,11
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",15415,173,5062,5749,3873,558
