"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PASCO (000)",3588,31,2083,1008,402,64
"Conviviente (001)",808,1,334,378,84,11
"Separado(a) (002)",110,,40,53,15,2
"Casado(a) (003)",633,,100,273,224,36
"Viudo(a) (004)",62,,4,19,31,8
"Divorciado(a) (005)",11,,,7,3,1
"Soltero(a) (006)",1964,30,1605,278,45,6
"Hombres (008)",2523,24,1357,749,339,54
"Conviviente (009)",644,,251,309,74,10
"Separado(a) (010)",50,,12,26,11,1
"Casado(a) (011)",516,,61,219,201,35
"Viudo(a) (012)",30,,1,8,15,6
"Divorciado(a) (013)",7,,,4,3,
"Soltero(a) (014)",1276,24,1032,183,35,2
"Mujeres (016)",1065,7,726,259,63,10
"Conviviente (017)",164,1,83,69,10,1
"Separado(a) (018)",60,,28,27,4,1
"Casado(a) (019)",117,,39,54,23,1
"Viudo(a) (020)",32,,3,11,16,2
"Divorciado(a) (021)",4,,,3,,1
"Soltero(a) (022)",688,6,573,95,10,4
,,,,,,
"AREA URBANA (024)",2807,19,1574,828,335,51
"Conviviente (025)",624,,247,306,64,7
"Separado(a) (026)",83,,28,41,12,2
"Casado(a) (027)",543,,84,239,190,30
"Viudo(a) (028)",50,,3,15,26,6
"Divorciado(a) (029)",7,,,5,2,
"Soltero(a) (030)",1500,19,1212,222,41,6
"Hombres (032)",1951,14,1004,616,275,42
"Conviviente (033)",478,,174,243,55,6
"Separado(a) (034)",41,,9,22,9,1
"Casado(a) (035)",433,,50,187,167,29
"Viudo(a) (036)",22,,1,7,10,4
"Divorciado(a) (037)",5,,,3,2,
"Soltero(a) (038)",972,14,770,154,32,2
"Mujeres (040)",856,5,570,212,60,9
"Conviviente (041)",146,,73,63,9,1
"Separado(a) (042)",42,,19,19,3,1
"Casado(a) (043)",110,,34,52,23,1
"Viudo(a) (044)",28,,2,8,16,2
"Divorciado(a) (045)",2,,,2,,
"Soltero(a) (046)",528,5,442,68,9,4
,,,,,,
"AREA RURAL (048)",781,12,509,180,67,13
"Conviviente (049)",184,1,87,72,20,4
"Separado(a) (050)",27,,12,12,3,
"Casado(a) (051)",90,,16,34,34,6
"Viudo(a) (052)",12,,1,4,5,2
"Divorciado(a) (053)",4,,,2,1,1
"Soltero(a) (054)",464,11,393,56,4,
"Hombres (056)",572,10,353,133,64,12
"Conviviente (057)",166,,77,66,19,4
"Separado(a) (058)",9,,3,4,2,
"Casado(a) (059)",83,,11,32,34,6
"Viudo(a) (060)",8,,,1,5,2
"Divorciado(a) (061)",2,,,1,1,
"Soltero(a) (062)",304,10,262,29,3,
"Mujeres (064)",209,2,156,47,3,1
"Conviviente (065)",18,1,10,6,1,
"Separado(a) (066)",18,,9,8,1,
"Casado(a) (067)",7,,5,2,,
"Viudo(a) (068)",4,,1,3,,
"Divorciado(a) (069)",2,,,1,,1
"Soltero(a) (070)",160,1,131,27,1,
