"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",9225,9037,2300,1371,1373,998,1294,812,538,351,188,26506
"De 12 a 14 años (001)",933,923,919,3,1,,,,,,10,5
"De 15 a 19 años (002)",1143,1121,890,211,19,1,,,,,22,252
"De 20 a 24 años (003)",944,897,203,415,215,47,17,,,,47,1056
"De 25 a 29 años (004)",905,863,66,275,295,149,73,5,,,42,1653
"De 30 a 34 años (005)",861,847,40,159,270,183,154,34,6,1,14,2188
"De 35 a 39 años (006)",833,822,34,75,206,213,213,64,14,3,11,2619
"De 40 a 44 años (007)",735,725,20,50,146,143,221,100,31,14,10,2794
"De 45 a 49 años (008)",594,586,16,43,75,88,173,99,70,22,8,2668
"De 50 y más años (009)",2277,2253,112,140,146,174,443,510,417,311,24,13271
"Sin nivel (010)",800,776,83,73,70,50,141,135,114,110,24,4099
"De 12 a 14 años (011)",13,13,13,,,,,,,,,
"De 15 a 19 años (012)",17,16,13,2,1,,,,,,1,4
"De 20 a 24 años (013)",32,31,11,13,3,1,3,,,,1,35
"De 25 a 29 años (014)",38,33,4,9,6,5,7,2,,,5,77
"De 30 a 34 años (015)",40,39,1,5,8,2,15,6,1,1,1,149
"De 35 a 39 años (016)",47,44,5,3,10,6,12,5,3,,3,149
"De 40 a 44 años (017)",54,51,2,3,7,1,13,15,7,3,3,275
"De 45 a 49 años (018)",45,44,4,2,5,5,7,8,9,4,1,227
"De 50 y más años (019)",514,505,30,36,30,30,84,99,94,102,9,3183
"Educacion Inicial (020)",22,21,8,4,5,2,1,1,,,1,30
"De 12 a 14 años (021)",3,3,3,,,,,,,,,
"De 15 a 19 años (022)",4,4,3,1,,,,,,,,1
"De 20 a 24 años (023)",2,2,,1,1,,,,,,,3
