"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia DATEM DEL MARAÑON (000)",15850,13246,1889,346,369
"Hombres (001)",9754,7935,1271,247,301
"Mujeres (002)",6096,5311,618,99,68
"De 06 a 14 años (003)",1137,1005,110,21,1
"Hombres (004)",576,505,60,10,1
"Mujeres (005)",561,500,50,11,
"De 15 a 29 años (006)",6570,5615,715,118,122
"Hombres (007)",3765,3157,445,81,82
"Mujeres (008)",2805,2458,270,37,40
"De 30 a 44 años (009)",4906,3873,715,150,168
"Hombres (010)",3182,2424,509,107,142
"Mujeres (011)",1724,1449,206,43,26
"De 45 a 64 años (012)",2777,2349,299,52,77
"Hombres (013)",1900,1563,217,45,75
"Mujeres (014)",877,786,82,7,2
"De 65 y más años (015)",460,404,50,5,1
"Hombres (016)",331,286,40,4,1
"Mujeres (017)",129,118,10,1,
,,,,,
"URBANA (018)",4116,3260,482,183,191
"Hombres (019)",2632,2032,332,129,139
"Mujeres (020)",1484,1228,150,54,52
"De 06 a 14 años (021)",188,154,26,7,1
"Hombres (022)",101,80,16,4,1
"Mujeres (023)",87,74,10,3,
"De 15 a 29 años (024)",1547,1255,168,52,72
"Hombres (025)",950,753,121,35,41
"Mujeres (026)",597,502,47,17,31
"De 30 a 44 años (027)",1426,1039,204,93,90
"Hombres (028)",913,646,133,63,71
"Mujeres (029)",513,393,71,30,19
"De 45 a 64 años (030)",833,696,80,29,28
"Hombres (031)",572,462,59,25,26
"Mujeres (032)",261,234,21,4,2
"De 65 y más años (033)",122,116,4,2,
"Hombres (034)",96,91,3,2,
"Mujeres (035)",26,25,1,,
,,,,,
"RURAL (036)",11734,9986,1407,163,178
"Hombres (037)",7122,5903,939,118,162
"Mujeres (038)",4612,4083,468,45,16
"De 06 a 14 años (039)",949,851,84,14,
"Hombres (040)",475,425,44,6,
"Mujeres (041)",474,426,40,8,
"De 15 a 29 años (042)",5023,4360,547,66,50
"Hombres (043)",2815,2404,324,46,41
"Mujeres (044)",2208,1956,223,20,9
"De 30 a 44 años (045)",3480,2834,511,57,78
"Hombres (046)",2269,1778,376,44,71
"Mujeres (047)",1211,1056,135,13,7
"De 45 a 64 años (048)",1944,1653,219,23,49
"Hombres (049)",1328,1101,158,20,49
"Mujeres (050)",616,552,61,3,
"De 65 y más años (051)",338,288,46,3,1
"Hombres (052)",235,195,37,2,1
"Mujeres (053)",103,93,9,1,
