"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia FERREÑAFE (000)",69304,11559,13104,13105,11411,8560,11565
"Conviviente (001)",18588,276,3540,5921,4358,2386,2107
"Separado(a) (002)",2309,26,262,558,575,413,475
"Casado(a) (003)",20051,34,898,3484,4918,4586,6131
"Viudo(a) (004)",2704,,13,57,174,339,2121
"Divorciado(a) (005)",223,,12,45,38,63,65
"Soltero(a) (006)",25429,11223,8379,3040,1348,773,666
"Hombres (008)",34009,6019,6495,6185,5321,4192,5797
"Conviviente (009)",8892,78,1267,2826,2167,1294,1260
"Separado(a) (010)",569,8,39,99,142,109,172
"Casado(a) (011)",9839,11,271,1493,2285,2306,3473
"Viudo(a) (012)",692,,2,18,36,77,559
"Divorciado(a) (013)",89,,,12,10,34,33
"Soltero(a) (014)",13928,5922,4916,1737,681,372,300
"Mujeres (016)",35295,5540,6609,6920,6090,4368,5768
"Conviviente (017)",9696,198,2273,3095,2191,1092,847
"Separado(a) (018)",1740,18,223,459,433,304,303
"Casado(a) (019)",10212,23,627,1991,2633,2280,2658
"Viudo(a) (020)",2012,,11,39,138,262,1562
"Divorciado(a) (021)",134,,12,33,28,29,32
"Soltero(a) (022)",11501,5301,3463,1303,667,401,366
,,,,,,,
"URBANA (024)",39469,6210,7222,7295,6693,5198,6851
"Conviviente (025)",8250,101,1516,2685,1975,1128,845
"Separado(a) (026)",1590,12,141,358,416,307,356
"Casado(a) (027)",12688,17,516,2154,3199,2957,3845
"Viudo(a) (028)",1487,,6,26,77,155,1223
"Divorciado(a) (029)",143,,,20,25,51,47
"Soltero(a) (030)",15311,6080,5043,2052,1001,600,535
"Hombres (032)",19014,3175,3519,3331,3027,2520,3442
"Conviviente (033)",3875,29,529,1228,960,613,516
"Separado(a) (034)",414,5,20,68,104,84,133
"Casado(a) (035)",6179,6,156,904,1454,1478,2181
"Viudo(a) (036)",410,,1,7,15,37,350
"Divorciado(a) (037)",70,,,9,8,28,25
"Soltero(a) (038)",8066,3135,2813,1115,486,280,237
"Mujeres (040)",20455,3035,3703,3964,3666,2678,3409
"Conviviente (041)",4375,72,987,1457,1015,515,329
"Separado(a) (042)",1176,7,121,290,312,223,223
"Casado(a) (043)",6509,11,360,1250,1745,1479,1664
"Viudo(a) (044)",1077,,5,19,62,118,873
"Divorciado(a) (045)",73,,,11,17,23,22
"Soltero(a) (046)",7245,2945,2230,937,515,320,298
,,,,,,,
"RURAL (048)",29835,5349,5882,5810,4718,3362,4714
"Conviviente (049)",10338,175,2024,3236,2383,1258,1262
"Separado(a) (050)",719,14,121,200,159,106,119
"Casado(a) (051)",7363,17,382,1330,1719,1629,2286
"Viudo(a) (052)",1217,,7,31,97,184,898
"Divorciado(a) (053)",80,,12,25,13,12,18
"Soltero(a) (054)",10118,5143,3336,988,347,173,131
"Hombres (056)",14995,2844,2976,2854,2294,1672,2355
"Conviviente (057)",5017,49,738,1598,1207,681,744
"Separado(a) (058)",155,3,19,31,38,25,39
"Casado(a) (059)",3660,5,115,589,831,828,1292
"Viudo(a) (060)",282,,1,11,21,40,209
"Divorciado(a) (061)",19,,,3,2,6,8
"Soltero(a) (062)",5862,2787,2103,622,195,92,63
"Mujeres (064)",14840,2505,2906,2956,2424,1690,2359
"Conviviente (065)",5321,126,1286,1638,1176,577,518
"Separado(a) (066)",564,11,102,169,121,81,80
"Casado(a) (067)",3703,12,267,741,888,801,994
"Viudo(a) (068)",935,,6,20,76,144,689
"Divorciado(a) (069)",61,,12,22,11,6,10
"Soltero(a) (070)",4256,2356,1233,366,152,81,68
