"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUALGAYOC (000)",34642,94674,82698,,1517,87.4,1.6
"De 12 a 14 años (001)",3432,13,13,,4,100,30.8
"De 15 a 19 años (002)",4822,669,655,218,97.9,32.6,
"De 20 a 24 años (003)",4472,3202,3134,395,97.9,12.3,
"De 25 a 29 años (004)",3733,5361,5174,352,96.5,6.6,
"De 30 a 34 años (005)",3260,7207,6859,252,95.2,3.5,
"De 35 a 39 años (006)",2978,9327,8775,186,94.1,2,
"De 40 a 44 años (007)",2464,10263,9406,93,91.6,0.9,
"De 45 a 49 años (008)",2034,10051,9007,17,89.6,0.2,
"De 50 y más años (009)",7447,48581,39675,,81.7,,
"Sin nivel (010)",13134,63435,53529,459,84.4,0.7,
"De 12 a 14 años (011)",70,,,,,,
"De 15 a 19 años (012)",330,88,87,32,98.9,36.4,
"De 20 a 24 años (013)",677,621,604,67,97.3,10.8,
"De 25 a 29 años (014)",917,1534,1460,108,95.2,7,
"De 30 a 34 años (015)",1087,2680,2508,97,93.6,3.6,
"De 35 a 39 años (016)",1338,4571,4256,92,93.1,2,
"De 40 a 44 años (017)",1347,6245,5670,52,90.8,0.8,
"De 45 a 49 años (018)",1278,6823,6043,11,88.6,0.2,
"De 50 y más años (019)",6090,40873,32901,,80.5,,
"Educacion Inicial (020)",49,94,91,1,96.8,1.1,
"De 12 a 14 años (021)",4,,,,,,
"De 15 a 19 años (022)",5,2,1,,50,,
"De 20 a 24 años (023)",13,18,18,1,100,5.6,
"De 25 a 29 años (024)",5,8,8,,100,,
"De 30 a 34 años (025)",12,30,29,,96.7,,
"De 35 a 39 años (026)",10,36,35,,97.2,,
"Primaria (030)",14221,25241,23393,768,92.7,3,
"De 12 a 14 años (031)",2232,12,12,4,100,33.3,
"De 15 a 19 años (032)",2370,414,405,127,97.8,30.7,
"De 20 a 24 años (033)",2511,1965,1924,240,97.9,12.2,
"De 25 a 29 años (034)",1943,2972,2874,180,96.7,6.1,
"De 30 a 34 años (035)",1526,3516,3361,103,95.6,2.9,
"De 35 a 39 años (036)",1157,3675,3469,77,94.4,2.1,
"De 40 a 44 años (037)",824,3256,3007,33,92.4,1,
"De 45 a 49 años (038)",550,2619,2375,4,90.7,0.2,
