"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CASTILLA (000)",17015,241,4942,6166,4354,1312
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",68,,6,27,33,2
"Profes., científicos e intelectuales (002)",832,,159,469,196,8
"Técnicos de nivel medio y trab.asimilados (003)",567,,155,243,149,20
"Jefes y empleados de oficina (004)",384,,126,173,84,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1415,15,405,546,357,92
"Agricult.trabaj. calif. agrop. y pesqueros (006)",3154,12,398,888,1171,685
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1583,8,543,708,298,26
"Obreros construc., conf., papel, fab., instr. (008)",1132,4,330,526,253,19
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",7018,198,2492,2294,1631,403
"Otra (010)",84,,13,52,19,
"Ocupación no especificada (011)",242,1,54,81,74,32
"Desocupado (012)",536,3,261,159,89,24
"Hombres (013)",11870,160,3408,4234,3090,978
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",50,,3,20,26,1
"Profes., científicos e intelectuales (015)",375,,77,186,106,6
"Técnicos de nivel medio y trab.asimilados (016)",377,,93,170,98,16
"Jefes y empleados de oficina (017)",197,,49,93,55,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",489,9,137,178,126,39
"Agricult.trabaj. calif. agrop. y pesqueros (019)",2629,11,319,740,965,594
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",1482,6,508,681,266,21
"Obreros construc., conf., papel, fab., instr. (021)",1116,3,325,518,251,19
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",4607,129,1688,1458,1082,250
"Otra (023)",83,,13,51,19,
"Ocupación no especificada (024)",81,1,15,27,26,12
"Desocupado (025)",384,1,181,112,70,20
"Mujeres (026)",5145,81,1534,1932,1264,334
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",18,,3,7,7,1
"Profes., científicos e intelectuales (028)",457,,82,283,90,2
"Técnicos de nivel medio y trab.asimilados (029)",190,,62,73,51,4
"Jefes y empleados de oficina (030)",187,,77,80,29,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",926,6,268,368,231,53
"Agricult.trabaj. calif. agrop. y pesqueros (032)",525,1,79,148,206,91
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",101,2,35,27,32,5
