"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CORONEL PORTILLO (000)",120266,294309,270666,,7117,92,2.4
"De 12 a 14 años (001)",12720,171,165,,41,96.5,24
"De 15 a 19 años (002)",18962,4679,4532,1186,96.9,25.3,
"De 20 a 24 años (003)",15801,15333,14931,1889,97.4,12.3,
"De 25 a 29 años (004)",13714,24237,23580,1691,97.3,7,
"De 30 a 34 años (005)",11958,31138,29979,1245,96.3,4,
"De 35 a 39 años (006)",10787,35760,34054,753,95.2,2.1,
"De 40 a 44 años (007)",9466,36877,34626,261,93.9,0.7,
"De 45 a 49 años (008)",7439,33595,31007,51,92.3,0.2,
"De 50 y más años (009)",19419,112519,97792,,86.9,,
"Sin nivel (010)",3621,18919,15581,102,82.4,0.5,
"De 12 a 14 años (011)",103,5,5,,100,,
"De 15 a 19 años (012)",156,63,61,11,96.8,17.5,
"De 20 a 24 años (013)",145,175,170,17,97.1,9.7,
"De 25 a 29 años (014)",174,357,338,23,94.7,6.4,
"De 30 a 34 años (015)",197,595,557,25,93.6,4.2,
"De 35 a 39 años (016)",194,826,769,15,93.1,1.8,
"De 40 a 44 años (017)",227,993,909,7,91.5,0.7,
"De 45 a 49 años (018)",255,1418,1231,4,86.8,0.3,
"De 50 y más años (019)",2170,14487,11541,,79.7,,
"Educacion Inicial (020)",195,267,250,13,93.6,4.9,
"De 12 a 14 años (021)",38,2,2,,100,,
"De 15 a 19 años (022)",40,20,19,5,95,25,
"De 20 a 24 años (023)",35,30,29,3,96.7,10,
"De 25 a 29 años (024)",35,46,46,4,100,8.7,
"De 30 a 34 años (025)",28,93,84,1,90.3,1.1,
"De 35 a 39 años (026)",19,76,70,,92.1,,
"Primaria (030)",35057,139323,124948,1899,89.7,1.4,
"De 12 a 14 años (031)",5036,77,73,28,94.8,36.4,
"De 15 a 19 años (032)",2379,1262,1232,263,97.6,20.8,
"De 20 a 24 años (033)",2049,3608,3487,387,96.6,10.7,
"De 25 a 29 años (034)",2559,6874,6647,426,96.7,6.2,
"De 30 a 34 años (035)",2706,9826,9293,368,94.6,3.7,
"De 35 a 39 años (036)",3034,13208,12379,278,93.7,2.1,
"De 40 a 44 años (037)",3205,15815,14575,120,92.2,0.8,
"De 45 a 49 años (038)",2994,16745,15140,29,90.4,0.2,
