"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia LA MAR (000)",78126,4690,11832,11801,8019,12584,10632,14301,4267
"Sabe leer y escribir (001)",57447,,8024,11602,7829,11909,8742,8201,1140
"No sabe leer y escribir (002)",20679,4690,3808,199,190,675,1890,6100,3127
"Hombres (004)",40267,2390,6005,6176,4278,6731,5527,7160,2000
"Sabe leer y escribir (005)",32257,,4068,6060,4191,6515,5062,5487,874
"No sabe leer y escribir (006)",8010,2390,1937,116,87,216,465,1673,1126
"Mujeres (008)",37859,2300,5827,5625,3741,5853,5105,7141,2267
"Sabe leer y escribir (009)",25190,,3956,5542,3638,5394,3680,2714,266
"No sabe leer y escribir (010)",12669,2300,1871,83,103,459,1425,4427,2001
,,,,,,,,,
"URBANA (012)",32127,1763,4460,4827,3620,5508,4805,5796,1348
"Sabe leer y escribir (013)",25134,,3308,4759,3558,5227,4100,3709,473
"No sabe leer y escribir (014)",6993,1763,1152,68,62,281,705,2087,875
"Hombres (016)",16413,880,2256,2492,1923,2821,2497,2937,607
"Sabe leer y escribir (017)",13742,,1685,2452,1892,2723,2311,2357,322
"No sabe leer y escribir (018)",2671,880,571,40,31,98,186,580,285
"Mujeres (020)",15714,883,2204,2335,1697,2687,2308,2859,741
"Sabe leer y escribir (021)",11392,,1623,2307,1666,2504,1789,1352,151
"No sabe leer y escribir (022)",4322,883,581,28,31,183,519,1507,590
,,,,,,,,,
"RURAL (024)",45999,2927,7372,6974,4399,7076,5827,8505,2919
"Sabe leer y escribir (025)",32313,,4716,6843,4271,6682,4642,4492,667
"No sabe leer y escribir (026)",13686,2927,2656,131,128,394,1185,4013,2252
"Hombres (028)",23854,1510,3749,3684,2355,3910,3030,4223,1393
"Sabe leer y escribir (029)",18515,,2383,3608,2299,3792,2751,3130,552
"No sabe leer y escribir (030)",5339,1510,1366,76,56,118,279,1093,841
"Mujeres (032)",22145,1417,3623,3290,2044,3166,2797,4282,1526
"Sabe leer y escribir (033)",13798,,2333,3235,1972,2890,1891,1362,115
"No sabe leer y escribir (034)",8347,1417,1290,55,72,276,906,2920,1411
