"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHANCHAMAYO (000)",64233,54389,3817,2540,3487
"Agric., ganadería, caza y silvicultura (001)",32489,30960,1187,243,99
"Pesca (002)",29,25,,4,
"Explotación de minas y canteras (003)",914,116,104,219,475
"Industrias manufactureras (004)",2252,1739,289,166,58
"Suministro de electricidad, gas y agua (005)",115,19,13,59,24
"Construcción (006)",1985,1356,339,215,75
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",8536,7979,389,136,32
"Venta, mant.y rep. veh.autom y motoc. (008)",1121,967,102,37,15
"Comercio al por mayor (009)",350,248,47,38,17
"Comercio al por menor (010)",7065,6764,240,61,
"Hoteles y restaurantes (011)",3057,2774,207,57,19
"Trans., almac. y comunicaciones (012)",4272,3702,250,192,128
"Intermediación financiera (013)",129,28,25,52,24
"Activid.inmobil., empres. y alquileres (014)",1506,892,210,239,165
"Admin.pub. y defensa; p. segur soc.afil (015)",1289,,,,1289
"Enseñanza (016)",2410,669,448,774,519
"Servicios sociales y de salud (017)",719,215,37,11,456
"Otras activ. serv.comun.soc y personales (018)",1083,860,143,54,26
"Hogares privados con servicio doméstico (019)",1230,1230,,,
"Actividad economica no especificada (021)",2218,1825,176,119,98
"Hombres (022)",46748,39831,2868,1732,2317
"Agric., ganadería, caza y silvicultura (023)",28349,27027,1044,203,75
"Pesca (024)",26,22,,4,
"Explotación de minas y canteras (025)",896,111,103,213,469
"Industrias manufactureras (026)",1757,1361,223,131,42
"Suministro de electricidad, gas y agua (027)",104,19,8,56,21
"Construcción (028)",1901,1323,328,186,64
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",4240,3840,266,107,27
"Venta, mant.y rep. veh.autom y motoc. (030)",1003,858,95,35,15
"Comercio al por mayor (031)",217,143,32,30,12
"Comercio al por menor (032)",3020,2839,139,42,
"Hoteles y restaurantes (033)",773,653,88,23,9
"Trans., almac. y comunicaciones (034)",3981,3469,226,168,118
"Intermediación financiera (035)",71,14,14,29,14
"Activid.inmobil., empres. y alquileres (036)",1043,618,146,164,115
"Admin.pub. y defensa; p. segur soc.afil (037)",900,,,,900
"Enseñanza (038)",1003,248,200,333,222
"Servicios sociales y de salud (039)",262,87,14,3,158
"Otras activ. serv.comun.soc y personales (040)",480,338,93,34,15
