"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUARAZ (000)",52505,36259,5041,5130,6075
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",141,7,26,22,86
"Profes., científicos e intelectuales (002)",8625,2226,1394,2514,2491
"Técnicos de nivel medio y trab. asimilados (003)",2857,1367,406,404,680
"Jefes y empleados de oficina (004)",2760,615,363,505,1277
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",7716,6697,573,306,140
"Agricult.trabaj.calif.agrop.y pesqueros (006)",6690,6532,154,4,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",3703,2795,438,273,197
"Obreros construc.,conf.,papel, fab., instr. (008)",5209,3895,592,398,324
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",13634,11425,1032,650,527
"Otra (010)",330,,,,330
"Ocupación no especificada (011)",840,700,63,54,23
"Hombres (012)",33984,23388,3550,3380,3666
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",106,5,17,15,69
"Profes., científicos e intelectuales (014)",4774,1267,766,1391,1350
"Técnicos de nivel medio y trab. asimilados (015)",1824,908,280,280,356
"Jefes y empleados de oficina (016)",1251,254,166,254,577
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",3445,2796,334,222,93
"Agricult.trabaj.calif.agrop.y pesqueros (018)",5931,5795,132,4,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",3239,2400,398,255,186
"Obreros construc.,conf.,papel, fab., instr. (020)",5089,3803,584,385,317
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",7693,5922,841,546,384
"Otra (022)",313,,,,313
"Ocupación no especificada (023)",319,238,32,28,21
"Mujeres (024)",18521,12871,1491,1750,2409
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",35,2,9,7,17
"Profes., científicos e intelectuales (026)",3851,959,628,1123,1141
"Técnicos de nivel medio y trab. asimilados (027)",1033,459,126,124,324
"Jefes y empleados de oficina (028)",1509,361,197,251,700
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",4271,3901,239,84,47
"Agricult.trabaj.calif.agrop.y pesqueros (030)",759,737,22,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",464,395,40,18,11
"Obreros construc.,conf.,papel, fab., instr. (032)",120,92,8,13,7
