"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CAJATAMBO (000)",2464,8145,1475,4977,989,3168
"Casa independiente (001)",2251,7441,1407,4718,844,2723
"Departamento en edificio (002)",1,5,1,5,,
"Vivienda en quinta (003)",11,32,11,32,,
"Vivienda en casa de vecindad (004)",48,201,48,201,,
"Choza o cabaña (005)",142,441,,,142,441
"Vivienda improvisada (006)",1,1,1,1,,
"Local no dest.para hab. humana (007)",10,24,7,20,3,4
